paper_unit,paper_id,study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units ,gas,gas_unit,mass/area,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,metabolic_category,latitude,latitude_broad,cnidarian_type,avg_depth_m,depth_m
5,nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,18,C,gross photosynthesis,52.76378225,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,9.744360902,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,gpp,34.36,,hermatypic coral,3.5,4-Mar
5,nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,20,C,gross photosynthesis,59.09742554,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,9.925449667,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,gpp,34.36,,hermatypic coral,3.5,4-Mar
5,nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,20,C,gross photosynthesis,63.24780148,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,12.27067669,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,gpp,34.36,,hermatypic coral,3.5,4-Mar
5,nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,22,C,gross photosynthesis,71.56640718,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,5.413533835,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,gpp,34.36,,hermatypic coral,3.5,4-Mar
5,nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,24,C,gross photosynthesis,79.88628816,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,7.939849624,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,gpp,34.36,,hermatypic coral,3.5,4-Mar
5,nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,26,C,gross photosynthesis,83.15226228,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,9.022556391,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,gpp,34.36,,hermatypic coral,3.5,4-Mar
5,nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,28,C,gross photosynthesis,90.02725896,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,9.203007519,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,gpp,34.36,,hermatypic coral,3.5,4-Mar
5,nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,30,C,gross photosynthesis,90.76755493,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,13.53383459,SD,6,M,lab,,,season,summer,400,400,umol m^-2  s^-1,gpp,34.36,,hermatypic coral,3.5,4-Mar
6,nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,12,C,gross photosynthesis,34.12311698,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,6.677329366,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,gpp,34.36,,hermatypic coral,3.5,4-Mar
6,nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,14,C,gross photosynthesis,51.10337682,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,5.052631579,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,gpp,34.36,,hermatypic coral,3.5,4-Mar
6,nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,16,C,gross photosynthesis,59.24216903,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,4.691729323,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,gpp,34.36,,hermatypic coral,3.5,4-Mar
6,nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,18,C,gross photosynthesis,64.1322033,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,2.887218045,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,gpp,34.36,,hermatypic coral,3.5,4-Mar
6,nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,20,C,gross photosynthesis,70.10558198,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,14.43609023,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,gpp,34.36,,hermatypic coral,3.5,4-Mar
6,nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,20,C,gross photosynthesis,71.90945562,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,12.63157895,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,gpp,34.36,,hermatypic coral,3.5,4-Mar
6,nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,22,C,gross photosynthesis,83.83772151,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,17.14285714,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,gpp,34.36,,hermatypic coral,3.5,4-Mar
6,nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,24,C,gross photosynthesis,92.51786711,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,14.97744361,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,gpp,34.36,,hermatypic coral,3.5,4-Mar
6,nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,26,C,gross photosynthesis,95.42293897,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,16.60150376,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,gpp,34.36,,hermatypic coral,3.5,4-Mar
6,nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,28,C,gross photosynthesis,103.7415447,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,14.61717899,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,gpp,34.36,,hermatypic coral,3.5,4-Mar
6,nakamura2003,nakamura2003,figure 3a,pop,Acropora,pruinosa,30,C,gross photosynthesis,89.32330827,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,9.383458647,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,gpp,34.36,,hermatypic coral,3.5,4-Mar
1,becker2021,becker2021,supplementary data file,pop,Pocillopora,spp.,20,C,gross photosynthesis,0.66659832,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,,,,M,lab,,,,,451,451,umol m^-2  s^-1,gpp,-17.5388,,hermatypic coral,13,13
1,becker2021,becker2021,supplementary data file,pop,Pocillopora,spp.,22,C,gross photosynthesis,0.817257209,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,,,,M,lab,,,,,451,451,umol m^-2  s^-1,gpp,-17.5388,,hermatypic coral,13,13
1,becker2021,becker2021,supplementary data file,pop,Pocillopora,spp.,24,C,gross photosynthesis,1.006088103,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,,,,M,lab,,,,,451,451,umol m^-2  s^-1,gpp,-17.5388,,hermatypic coral,13,13
1,becker2021,becker2021,supplementary data file,pop,Pocillopora,spp.,28,C,gross photosynthesis,1.17228201,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,,,,M,lab,,,,,451,451,umol m^-2  s^-1,gpp,-17.5388,,hermatypic coral,13,13
1,becker2021,becker2021,supplementary data file,pop,Pocillopora,spp.,30,C,gross photosynthesis,1.134817304,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,,,,M,lab,,,,,451,451,umol m^-2  s^-1,gpp,-17.5388,,hermatypic coral,13,13
