paper_unit,paper_id,study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units,gas_units,mass/area,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,metabolic_category,latitude,latitude_broad,cnidarian_type,avg_depth_m,depth_m,broad_coral,npp_value,r_value,gpp_value,npp_error,r_error,gpp_error,n
1,godefroid2023,godefroid2023,figure 2a,pop,Pachyseris,speciosa,23,C,dark respiration,0.085588235,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.006176471,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,25,25,hard,0.255319149,0.085588235,,0.016489362,0.006176471,,5
1,godefroid2023,godefroid2023,figure 2a,pop,Pachyseris,speciosa,24,C,dark respiration,0.083823529,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.012352941,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,25,25,hard,0.234042553,0.083823529,,0.014893617,0.012352941,,5
1,godefroid2023,godefroid2023,figure 2a,pop,Pachyseris,speciosa,25,C,dark respiration,0.110294118,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.007941176,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,25,25,hard,0.219148936,0.110294118,,0.022340426,0.007941176,,5
1,godefroid2023,godefroid2023,figure 2a,pop,Pachyseris,speciosa,26,C,dark respiration,0.127941176,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.007058824,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,25,25,hard,0.20106383,0.127941176,,0.020744681,0.007058824,,5
1,godefroid2023,godefroid2023,figure 2a,pop,Pachyseris,speciosa,27,C,dark respiration,0.131470588,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.007941176,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,25,25,hard,0.174468085,0.131470588,,0.015957447,0.007941176,,5
1,godefroid2023,godefroid2023,figure 2a,pop,Pachyseris,speciosa,28,C,dark respiration,0.124411765,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.007058824,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,25,25,hard,0.172340426,0.124411765,,0.024468085,0.007058824,,5
1,godefroid2023,godefroid2023,figure 2a,pop,Pachyseris,speciosa,29,C,dark respiration,0.132352941,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.009705882,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,25,25,hard,0.169148936,0.132352941,,0.025,0.009705882,,5
1,godefroid2023,godefroid2023,figure 2a,pop,Pachyseris,speciosa,30,C,dark respiration,0.143823529,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.007058824,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,25,25,hard,0.159574468,0.143823529,,0.021276596,0.007058824,,5
1,godefroid2023,godefroid2023,figure 2a,pop,Pachyseris,speciosa,31,C,dark respiration,0.154411765,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.006176471,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,25,25,hard,0.163829787,0.154411765,,0.018085106,0.006176471,,5
1,godefroid2023,godefroid2023,figure 2a,pop,Pachyseris,speciosa,32,C,dark respiration,0.168529412,umol O2 h^-1 cm^-2,umol_o2,cm^2,hr,0.008823529,SEM,5,M,lab,NA,NA,NA,NA,0,0,umol m^-2  s^-1,r,-17.28,NA,hermatypic coral,25,25,hard,0.122340426,0.168529412,,0.028723404,0.008823529,,5
