paper_id,study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units,gas_units,mass/area,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,metabolic_category,latitude,latitude_broad,cnidarian_type,avg_depth_m,depth_m,npp,r,gpp
silbiger2019,silbiger2019,suppdatafile,pop,Orbicella,franksi,34,C,gross photosynthesis,5.496812398,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,NA,NA,NA,M,lab,NA,NA,location,panama,623,623,umol m^-2  s^-1,gpp,9.14,NA,hermatypic coral,7.5,10-May,3.467573037,-2.029239361,5.496812398
silbiger2019,silbiger2019,suppdatafile,pop,Orbicella,franksi,34,C,gross photosynthesis,5.924684627,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,NA,NA,NA,M,lab,NA,NA,location,panama,623,623,umol m^-2  s^-1,gpp,9.14,NA,hermatypic coral,7.5,10-May,3.516241565,-2.408443062,5.924684627
silbiger2019,silbiger2019,suppdatafile,pop,Orbicella,franksi,34,C,gross photosynthesis,3.984916604,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,NA,NA,NA,M,lab,NA,NA,location,panama,623,623,umol m^-2  s^-1,gpp,9.14,NA,hermatypic coral,7.5,10-May,2.061963725,-1.922952879,3.984916604
silbiger2019,silbiger2019,suppdatafile,pop,Orbicella,franksi,34,C,gross photosynthesis,2.775118854,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,NA,NA,NA,M,lab,NA,NA,location,panama,623,623,umol m^-2  s^-1,gpp,9.14,NA,hermatypic coral,7.5,10-May,1.20057132,-1.574547534,2.775118854
silbiger2019,silbiger2019,suppdatafile,pop,Orbicella,franksi,36,C,gross photosynthesis,1.413344097,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,NA,NA,NA,M,lab,NA,NA,location,panama,623,623,umol m^-2  s^-1,gpp,9.14,NA,hermatypic coral,7.5,10-May,0.295266945,-1.118077152,1.413344097
silbiger2019,silbiger2019,suppdatafile,pop,Orbicella,franksi,36,C,gross photosynthesis,1.599072224,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,NA,NA,NA,M,lab,NA,NA,location,panama,623,623,umol m^-2  s^-1,gpp,9.14,NA,hermatypic coral,7.5,10-May,0.485720468,-1.936634961,1.599072224
silbiger2019,silbiger2019,suppdatafile,pop,Orbicella,franksi,33,C,gross photosynthesis,3.694801982,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,NA,NA,NA,M,lab,NA,NA,location,panama,623,623,umol m^-2  s^-1,gpp,9.14,NA,hermatypic coral,7.5,10-May,2.39510014,-1.299701842,3.694801982
silbiger2019,silbiger2019,suppdatafile,pop,Orbicella,franksi,33,C,gross photosynthesis,4.169211957,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,NA,NA,NA,M,lab,NA,NA,location,panama,623,623,umol m^-2  s^-1,gpp,9.14,NA,hermatypic coral,7.5,10-May,2.591704652,-1.577507305,4.169211957
silbiger2019,silbiger2019,suppdatafile,pop,Orbicella,franksi,33,C,gross photosynthesis,2.952366112,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,NA,NA,NA,M,lab,NA,NA,location,panama,623,623,umol m^-2  s^-1,gpp,9.14,NA,hermatypic coral,7.5,10-May,1.855652472,-1.096713641,2.952366112
silbiger2019,silbiger2019,suppdatafile,pop,Orbicella,franksi,33,C,gross photosynthesis,4.411882259,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,NA,NA,NA,M,lab,NA,NA,location,panama,623,623,umol m^-2  s^-1,gpp,9.14,NA,hermatypic coral,7.5,10-May,2.217547209,-2.19433505,4.411882259
silbiger2019,silbiger2019,suppdatafile,pop,Orbicella,franksi,32,C,gross photosynthesis,4.265881373,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,NA,NA,NA,M,lab,NA,NA,location,panama,623,623,umol m^-2  s^-1,gpp,9.14,NA,hermatypic coral,7.5,10-May,2.547069226,-1.718812146,4.265881373
silbiger2019,silbiger2019,suppdatafile,pop,Orbicella,franksi,32,C,gross photosynthesis,2.817253222,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,NA,NA,NA,M,lab,NA,NA,location,panama,623,623,umol m^-2  s^-1,gpp,9.14,NA,hermatypic coral,7.5,10-May,1.477336579,-1.339916643,2.817253222
silbiger2019,silbiger2019,suppdatafile,pop,Orbicella,franksi,32,C,gross photosynthesis,3.090991914,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,NA,NA,NA,M,lab,NA,NA,location,panama,623,623,umol m^-2  s^-1,gpp,9.14,NA,hermatypic coral,7.5,10-May,1.683526723,-1.407465191,3.090991914
silbiger2019,silbiger2019,suppdatafile,pop,Orbicella,franksi,28,C,gross photosynthesis,6.077131248,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,NA,NA,NA,M,lab,NA,NA,location,panama,623,623,umol m^-2  s^-1,gpp,9.14,NA,hermatypic coral,7.5,10-May,4.047289183,-2.029842065,6.077131248
silbiger2019,silbiger2019,suppdatafile,pop,Orbicella,franksi,28,C,gross photosynthesis,4.123397071,umol O2 cm^-2 h^-1,umol_o2,cm^2,hr,NA,NA,NA,M,lab,NA,NA,location,panama,623,623,umol m^-2  s^-1,gpp,9.14,NA,hermatypic coral,7.5,10-May,1.789784715,-2.333612356,4.123397071
