paper_id,study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units ,gas,gas_unit,mass/area,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,metabolic_category,latitude,latitude_broad,cnidarian_type
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,14,C,net photosynthesis,38.47253002,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,4.045910098,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,npp,34.36,,coral
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,16,C,net photosynthesis,43.64105448,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,3.862005094,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,npp,34.36,,coral
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,18,C,net photosynthesis,46.60205735,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,2.206860054,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,npp,34.36,,coral
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,20,C,net photosynthesis,49.5623987,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,4.413720107,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,npp,34.36,,coral
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,22,C,net photosynthesis,56.75321668,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,10.11543677,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,npp,34.36,,coral
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,24,C,net photosynthesis,61.3693646,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,7.724010188,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,npp,34.36,,coral
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,26,C,net photosynthesis,60.83683392,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,7.539443654,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,npp,34.36,,coral
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,28,C,net photosynthesis,57.91221513,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,9.012006748,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,npp,34.36,,coral
nakamura2003,nakamura2003,figure 2a,pop,Acropora,pruinosa,30,C,net photosynthesis,44.3217676,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,5.701716667,SD,6,M,lab,,,season,winter,400,400,umol m^-2  s^-1,npp,34.36,,coral
nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,12,C,respiration,-5.391705069,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,2.211981567,SD,6,M,lab,,,season,summer,0,0,umol m^-2  s^-1,r,34.36,,coral
nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,14,C,respiration,-8.341013825,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,2.211981567,SD,6,M,lab,,,season,summer,0,0,umol m^-2  s^-1,r,34.36,,coral
nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,16,C,respiration,-11.29032258,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,3.31797235,SD,6,M,lab,,,season,summer,0,0,umol m^-2  s^-1,r,34.36,,coral
nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,18,C,respiration,-11.47465438,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,3.870967742,SD,6,M,lab,,,season,summer,0,0,umol m^-2  s^-1,r,34.36,,coral
nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,20,C,respiration,-12.76497696,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,4.055299539,SD,6,M,lab,,,season,summer,0,0,umol m^-2  s^-1,r,34.36,,coral
nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,20,C,respiration,-16.6359447,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,7.188940092,SD,6,M,lab,,,season,summer,0,0,umol m^-2  s^-1,r,34.36,,coral
nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,22,C,respiration,-15.52995392,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,2.396313364,SD,6,M,lab,,,season,summer,0,0,umol m^-2  s^-1,r,34.36,,coral
nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,24,C,respiration,-19.76958525,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,2.580645161,SD,6,M,lab,,,season,summer,0,0,umol m^-2  s^-1,r,34.36,,coral
nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,26,C,respiration,-19.03225806,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,3.133640553,SD,6,M,lab,,,season,summer,0,0,umol m^-2  s^-1,r,34.36,,coral
nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,28,C,respiration,-19.03225806,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,2.764976959,SD,6,M,lab,,,season,summer,0,0,umol m^-2  s^-1,r,34.36,,coral
nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,30,C,respiration,-26.22119816,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,3.686635945,SD,6,M,lab,,,season,summer,0,0,umol m^-2  s^-1,r,34.36,,coral
nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,12,C,respiration,-9.078341014,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,2.580645161,SD,6,M,lab,,,season,winter,0,0,umol m^-2  s^-1,r,34.36,,coral
nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,14,C,respiration,-12.39631336,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,1.290322581,SD,6,M,lab,,,season,winter,0,0,umol m^-2  s^-1,r,34.36,,coral
nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,16,C,respiration,-15.71428571,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,2.396313364,SD,6,M,lab,,,season,winter,0,0,umol m^-2  s^-1,r,34.36,,coral
nakamura2003,nakamura2003,figure 2f,pop,Acropora,pruinosa,18,C,respiration,-17.55760369,umol O2 cm^-2 h^-1,o2,umol,cm^2,hr,1.290322581,SD,6,M,lab,,,season,winter,0,0,umol m^-2  s^-1,r,34.36,,coral
