latitude,species,mol_gCmin,inv_T,temp,metabolic_category,study_id,paper_unit,gpp_value,npp_value,r_value
21.4691,minutum,1.3257575757575758e-5,40.98364161,10,npp,russnak2021,41,,1.3257575757575758e-5,-1.29E-05
21.4691,minutum,3.371212121212122e-5,40.27249044438772,15,npp,russnak2021,41,,3.371212121212122e-5,-9.47E-06
21.4691,minutum,4.962121212121212e-5,39.58559823145258,20,npp,russnak2021,41,,4.962121212121212e-5,-1.29E-05
21.4691,minutum,6.439393939393939e-5,38.92174449622782,25,npp,russnak2021,41,,6.439393939393939e-5,-1.86E-05
21.4691,minutum,5.871212121212122e-5,38.27978928434875,30,npp,russnak2021,41,,5.871212121212122e-5,-2.42E-05
21.4691,minutum,1.8939393939393941e-6,37.65866662842876,35,npp,russnak2021,41,,1.8939393939393941e-6,-3.45E-05
21.4691,minutum,-2.65E-05,37.05737864138695,40,npp,russnak2021,41,,-2.65E-05,-3.45E-05
21.4691,trenchii,3.0303030303030305e-6,40.98364161,10,npp,russnak2021,42,,3.0303030303030305e-6,-4.92E-06
21.4691,trenchii,9.848484848484848e-6,40.27249044438772,15,npp,russnak2021,42,,9.848484848484848e-6,-7.20E-06
21.4691,trenchii,2.007575757575758e-5,39.58559823145258,20,npp,russnak2021,42,,2.007575757575758e-5,-1.06E-05
21.4691,trenchii,2.916666666666667e-5,38.92174449622782,25,npp,russnak2021,42,,2.916666666666667e-5,-1.74E-05
21.4691,trenchii,1.6666666666666667e-5,38.27978928434875,30,npp,russnak2021,42,,1.6666666666666667e-5,-2.65E-05
21.4691,trenchii,-4.92E-06,37.65866662842876,35,npp,russnak2021,42,,-4.92E-06,-2.77E-05
21.4691,trenchii,-2.31E-05,37.05737864138695,40,npp,russnak2021,42,,-2.31E-05,-2.54E-05
21.4691,minutum,3.0303030303030305e-6,40.98364161,10,npp,russnak2021,43,,3.0303030303030305e-6,-7.20E-06
21.4691,minutum,9.848484848484848e-6,40.27249044438772,15,npp,russnak2021,43,,9.848484848484848e-6,-7.20E-06
21.4691,minutum,1.6666666666666667e-5,39.58559823145258,20,npp,russnak2021,43,,1.6666666666666667e-5,-8.33E-06
21.4691,minutum,3.1439393939393945e-5,38.92174449622782,25,npp,russnak2021,43,,3.1439393939393945e-5,-1.06E-05
21.4691,minutum,3.371212121212122e-5,38.27978928434875,30,npp,russnak2021,43,,3.371212121212122e-5,-1.40E-05
