paper_unit,paper_id,study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units ,gas,gas_unit,mass/area,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,metabolic_category,latitude,latitude_broad,avg_depth_m,depth_m,npp_value,r_value,gpp_value,npp_error,r_error,gpp_error
9,fujita2014,fujita2014,figure 1,,Amphisorus,kudakajimensis,13,C,net photosynthesis,3.978723404,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.2,,1,,3.978723404,0.404255319,,,,
9,fujita2014,fujita2014,figure 1,,Amphisorus,kudakajimensis,15,C,net photosynthesis,3.914893617,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.2,,1,,3.914893617,-0.170212766,,,,
9,fujita2014,fujita2014,figure 1,,Amphisorus,kudakajimensis,15,C,net photosynthesis,2.191489362,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.2,,1,,2.191489362,-0.936170213,,,,
9,fujita2014,fujita2014,figure 1,,Amphisorus,kudakajimensis,15,C,net photosynthesis,6.978723404,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.2,,1,,6.978723404,-1.063829787,,,,
9,fujita2014,fujita2014,figure 1,,Amphisorus,kudakajimensis,15,C,net photosynthesis,8.063829787,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.2,,1,,8.063829787,-2.468085106,,,,
9,fujita2014,fujita2014,figure 1,,Amphisorus,kudakajimensis,15,C,net photosynthesis,9.404255319,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.2,,1,,9.404255319,-2.723404255,,,,
9,fujita2014,fujita2014,figure 1,,Amphisorus,kudakajimensis,18,C,net photosynthesis,7.042553191,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.2,,1,,7.042553191,-1.319148936,,,,
9,fujita2014,fujita2014,figure 1,,Amphisorus,kudakajimensis,20,C,net photosynthesis,7.425531915,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.2,,1,,7.425531915,-3.425531915,,,,
9,fujita2014,fujita2014,figure 1,,Amphisorus,kudakajimensis,20,C,net photosynthesis,7.872340426,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.2,,1,,7.872340426,-0.744680851,,,,
9,fujita2014,fujita2014,figure 1,,Amphisorus,kudakajimensis,20,C,net photosynthesis,8.510638298,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.2,,1,,8.510638298,-4.574468085,,,,
9,fujita2014,fujita2014,figure 1,,Amphisorus,kudakajimensis,20,C,net photosynthesis,15.08510638,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.2,,1,,15.08510638,-5.340425532,,,,
9,fujita2014,fujita2014,figure 1,,Amphisorus,kudakajimensis,20,C,net photosynthesis,19.74468085,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.2,,1,,19.74468085,-6.042553191,,,,
9,fujita2014,fujita2014,figure 1,,Amphisorus,kudakajimensis,23,C,net photosynthesis,10.93617021,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.2,,1,,10.93617021,-2.276595745,,,,
9,fujita2014,fujita2014,figure 1,,Amphisorus,kudakajimensis,25,C,net photosynthesis,11.57446809,nmol O2 mg^-1 dry weight hr^-1,O2,nmol,mg,hr,,,,M,,,,,,,500,umol m^-2  s^-1,npp,26.2,,1,,11.57446809,-1.255319149,,,,
