rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness,tpc_grp,metabolic_category
1.0242184972124341e-6,20.965,-28.406,51.848,0.33663338801701903,NA,1.6230411881635993,30.883,80.25399999999999,13.276,NA,1_sanchokappen1989,gpp
1.6332973394541586e-6,20.667,-18.686999999999998,46.271,0.45091225582786487,NA,1.9147984777241935,25.604,64.958,12.171,NA,1_sonesson1989,gpp
1.8461665377854377e-7,18.232,-Inf,49.039,0.029407499234181764,NA,1.0433942174111208,30.807000000000002,Inf,16,NA,1_uchida2006,gpp
1.542398302923132e-6,23.750999999999998,-6.513999999999996,80.006,0.5747905560723199,0.25670161548349274,2.226803456364726,56.255,86.52,15.027000000000001,0.31808894058882714,1_zotz2003,gpp
2.0558995928566136e-6,25.715,-7.1199999999999974,58.08,0.5717850424873866,0.40075166136353474,2.2084277762601725,32.364999999999995,65.19999999999999,12.320999999999998,0.17103338112385186,10_lechowiczadams1974,gpp
1.3109084359448708e-6,25.119,0.8230000000000004,Inf,0.5910091763160445,0.24570941074526434,2.2560928512270495,Inf,Inf,17.391000000000005,0.34529976557078024,11_lechowiczadams1974,gpp
1.2959892228095353e-6,19.992,-23.285999999999998,47.434,0.43148719318288453,0.41500491157451763,1.8817529718214312,27.441999999999997,70.72,13.237000000000002,0.0164822816083669,11_sanchokappen1989,gpp
1.2305049850132875e-6,24.007,-14.896,82.881,0.3709129801301204,0.20488501075669047,1.6774118959305884,58.873999999999995,97.777,17.655,0.16602796937342995,12_lechowiczadams1974,gpp
2.392074617635973e-6,24.771,-12.932000000000002,Inf,0.3825093778094351,0.16300280959285599,1.7034100592222854,Inf,Inf,18.815000000000005,0.21950656821657913,13_lechowiczadams1974,gpp
1.0662817742134892e-6,22.751,-29.335,77.693,0.24383026180325937,NA,1.4124485586282356,54.94199999999999,107.02799999999999,17.519,NA,13_sanchokappen1989,gpp
2.2382269155421806e-6,25.534,-8.149000000000001,Inf,0.39125239326864053,NA,1.7110078185793443,Inf,Inf,17.424999999999997,NA,14_lechowiczadams1974,gpp
1.3930267995372818e-6,24.339000000000002,-2.8999999999999986,Inf,0.5522483169147513,0.21128404873700907,2.1542768029077743,Inf,Inf,17.123,0.3409642681777422,15_lechowiczadams1974,gpp
1.1158606732467684e-6,23.968,-19.735,48.557,0.42863532920154,NA,1.8478906285793997,24.589000000000002,68.292,12.617999999999999,NA,15_sanchokappen1989,gpp
2.288413145260191e-6,25.63,-5.0319999999999965,66.041,0.5141484831586348,NA,2.024645587695224,40.411,71.073,13.138000000000005,NA,16_lechowiczadams1974,gpp
2.08293527911569e-6,27.868000000000002,-5.436999999999998,Inf,0.4773954090685821,NA,1.9229976094922647,Inf,Inf,15.246000000000002,NA,17_lechowiczadams1974,gpp
8.636973389906551e-7,20.956,-23.538,54.436,0.343569850463578,NA,1.631281040041755,33.480000000000004,77.974,14.776000000000002,NA,2_domaschke_2013,gpp
0.06185253506083971,17.577,-Inf,26.587,0.26957925105070435,NA,1.4809942958270976,9.009999999999998,Inf,10.606,NA,2_green1998,gpp
2.0506398104099234e-6,25.037,-6.719000000000001,54.876,0.48334858442503553,NA,1.9409267283750682,29.839,61.595,11.637,NA,2_lechowicz1973,gpp
1.3136012336678911e-6,18.561,-10.777999999999999,33.196,0.7195207485179437,NA,2.8728227453417388,14.634999999999998,43.974,7.946999999999999,NA,2_sonesson1989,gpp
4.790717198636694e-6,38.451,-43.36,85.764,0.19868109504851816,NA,1.302365551451454,47.312999999999995,129.124,20.426,NA,3_brownkershaw1984,gpp
2.930199322029784e-7,20.876,-25.555,56.236000000000004,0.3278417134313067,NA,1.596101923413127,35.36,81.791,15.526,NA,3_domaschke_2013,gpp
0.019857285682130042,22.571,-42.935,66.33200000000001,0.19701316237168717,NA,1.3204449698149539,43.76100000000001,109.26700000000001,15.834999999999999,NA,3_lange2002florai,gpp
1.284092552551555e-6,24.389,-1.0399999999999991,Inf,0.5392168661606398,0.25468160557429903,2.1064064842384327,Inf,Inf,16.749000000000002,0.28453526058634077,3_lechowicz1973,gpp
1.005960267056298e-6,22.554000000000002,-30.742,63.977999999999994,0.3339987623116874,NA,1.6225562124358412,41.42399999999999,94.72,15.036999999999999,NA,3_sanchokappen1989,gpp
3.103785890988603e-7,24.652,-32.357,Inf,0.29438875213275556,NA,1.5237008959612868,Inf,Inf,17.106,NA,4_domaschke_2013,gpp
1.295790280784614e-6,29.45,0.9930000000000021,Inf,0.5835832679875494,NA,2.2194983811298354,Inf,Inf,15.68,NA,4_lechowicz1973,gpp
1.6541843502219853e-6,26.505,-Inf,Inf,0.17435932488866634,NA,1.2822959544568886,Inf,Inf,24.289,NA,6_sancho1997,gpp
6.848727757373162e-6,33.518,-5.013999999999996,Inf,0.5469107546478356,NA,2.121403257370713,Inf,Inf,22.918,NA,7_brownkershaw1984,gpp
1.8739604034451017e-7,23.262,-26.406,79.371,0.3110624824732467,NA,1.5648014283491902,56.108999999999995,105.77699999999999,17.713,NA,7_sanchokappen1989,gpp
1.3670405433347552e-5,42.887,-13.192,46.821,0.3816198249436696,NA,1.6554458243509,3.9339999999999975,60.013,7.053999999999995,NA,9_brownkershaw1984,gpp
9.750160683620874e-7,26.767,-13.387,58.943,0.37100778831656483,NA,1.6513061448767914,32.176,72.33,13.704000000000008,NA,9_lechowiczadams1974,gpp
1.4551079127073913e-6,21.826,-27.951,59.787,0.3087355453606283,NA,1.553749953154712,37.961,87.738,12.035,NA,9_sanchokappen1989,gpp
