tpc_grp,depth_broad,broad_coral,latitude,species,mol_gCmin,sd_molgCmin,temp,cnidarian_type,metabolic_category,study_id
10_becker2021,shallow,hard,-17.5388,spp.,8.323528195121951e-11,NA,32,hermatypic coral,gpp,becker2021
10_becker2021,shallow,hard,-17.5388,spp.,7.389866024390244e-11,NA,34,hermatypic coral,gpp,becker2021
10_becker2021,shallow,hard,-17.5388,spp.,4.7273893821138214e-11,NA,36,hermatypic coral,gpp,becker2021
10_becker2021,shallow,hard,-17.5388,spp.,1.93310437398374e-11,NA,37,hermatypic coral,gpp,becker2021
11_becker2021,shallow,hard,-17.5388,spp.,4.649525788617886e-11,NA,20,hermatypic coral,gpp,becker2021
11_becker2021,shallow,hard,-17.5388,spp.,5.540075040650407e-11,NA,22,hermatypic coral,gpp,becker2021
11_becker2021,shallow,hard,-17.5388,spp.,6.515914008130081e-11,NA,24,hermatypic coral,gpp,becker2021
11_becker2021,shallow,hard,-17.5388,spp.,8.06781669105691e-11,NA,28,hermatypic coral,gpp,becker2021
11_becker2021,shallow,hard,-17.5388,spp.,7.658596e-11,NA,30,hermatypic coral,gpp,becker2021
11_becker2021,shallow,hard,-17.5388,spp.,7.728215365853659e-11,NA,32,hermatypic coral,gpp,becker2021
11_becker2021,shallow,hard,-17.5388,spp.,6.623955357723577e-11,NA,34,hermatypic coral,gpp,becker2021
11_becker2021,shallow,hard,-17.5388,spp.,4.290097260162602e-11,NA,36,hermatypic coral,gpp,becker2021
11_becker2021,shallow,hard,-17.5388,spp.,2.0127805447154473e-11,NA,37,hermatypic coral,gpp,becker2021
12_becker2021,shallow,hard,-17.5388,spp.,3.341477764227642e-11,NA,20,hermatypic coral,gpp,becker2021
12_becker2021,shallow,hard,-17.5388,spp.,3.5352087479674795e-11,NA,22,hermatypic coral,gpp,becker2021
12_becker2021,shallow,hard,-17.5388,spp.,4.1929731951219516e-11,NA,24,hermatypic coral,gpp,becker2021
12_becker2021,shallow,hard,-17.5388,spp.,6.058237390243902e-11,NA,28,hermatypic coral,gpp,becker2021
12_becker2021,shallow,hard,-17.5388,spp.,5.732178341463414e-11,NA,30,hermatypic coral,gpp,becker2021
12_becker2021,shallow,hard,-17.5388,spp.,6.244956227642277e-11,NA,32,hermatypic coral,gpp,becker2021
12_becker2021,shallow,hard,-17.5388,spp.,5.298302723577236e-11,NA,34,hermatypic coral,gpp,becker2021
12_becker2021,shallow,hard,-17.5388,spp.,4.272226195121951e-11,NA,36,hermatypic coral,gpp,becker2021
12_becker2021,shallow,hard,-17.5388,spp.,2.2453525040650408e-11,NA,37,hermatypic coral,gpp,becker2021
