tpc_grp,lichen_type,elevation_broad,latitude,species,mol_gCmin,inv_T,temp,metabolic_category,study_id,paper_unit
1_lange2004,cyanobacteria,high,8,aurata,2.0638410600000003e-6,40.1332115564597,16,npp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,2.3499337752e-6,40.27249044438772,15,npp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,2.1067549668e-6,39.857524030741274,18,npp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,2.407152318e-6,39.857524030741274,18,npp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,2.3070198672000004e-6,39.7210957437971,19,npp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,2.392847682e-6,39.58559823145258,20,npp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,2.1782781456000002e-6,39.58559823145258,20,npp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,2.3213245032000003e-6,39.451022000851,21,npp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,2.2068874176e-6,39.451022000851,21,npp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,2.3499337752e-6,39.31735768778696,22,npp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,2.2498013244000005e-6,39.052727987717724,24,npp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,2.0423841060000003e-6,39.18459605453426,23,npp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,1.9064900664000003e-6,38.92174449622782,25,npp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,1.9136423844e-6,38.79163670917708,26,npp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,1.7777483448000001e-6,38.66239587389746,27,npp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,1.5560264904000003e-6,38.66239587389746,27,npp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,1.8778807944000001e-6,38.27978928434875,30,npp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,1.6132450332000002e-6,37.9046811090979,33,npp,lange2004,1
