tpc_grp,latitude,species,mol_gCmin,inv_T,temp,metabolic_category,study_id,paper_unit
6_russnak2021,-8.7832,minutum,-1.2368583795454545e-5,39.58559823145258,20,r,russnak2021,6
6_russnak2021,-8.7832,minutum,-1.9325912181818184e-5,38.92174449622782,25,r,russnak2021,6
6_russnak2021,-8.7832,minutum,-3.671923314772727e-5,38.27978928434875,30,r,russnak2021,6
6_russnak2021,-8.7832,minutum,-4.135745208333334e-5,37.65866662842876,35,r,russnak2021,6
6_russnak2021,-8.7832,minutum,-4.947433518939394e-5,37.05737864138695,40,r,russnak2021,6
8_russnak2021,-8.7832,psygmophilum,-6.570810143939394e-6,40.9836416088657,10,r,russnak2021,8
8_russnak2021,-8.7832,psygmophilum,-8.889919606060608e-6,40.27249044438772,15,r,russnak2021,8
8_russnak2021,-8.7832,psygmophilum,-1.352813852651515e-5,39.58559823145258,20,r,russnak2021,8
8_russnak2021,-8.7832,psygmophilum,-1.9325912181818184e-5,38.92174449622782,25,r,russnak2021,8
8_russnak2021,-8.7832,psygmophilum,-3.324056895454545e-5,38.27978928434875,30,r,russnak2021,8
8_russnak2021,-8.7832,psygmophilum,-5.411255412878788e-6,37.65866662842876,35,r,russnak2021,8
8_russnak2021,-8.7832,psygmophilum,-2.5123685837121215e-5,37.05737864138695,40,r,russnak2021,8
10_russnak2021,21.4691,minutum,-1.2878787878787881e-5,40.9836416088657,10,r,russnak2021,10
10_russnak2021,21.4691,minutum,-9.46969696969697e-6,40.27249044438772,15,r,russnak2021,10
10_russnak2021,21.4691,minutum,-1.2878787878787881e-5,39.58559823145258,20,r,russnak2021,10
10_russnak2021,21.4691,minutum,-1.856060606060606e-5,38.92174449622782,25,r,russnak2021,10
10_russnak2021,21.4691,minutum,-2.4242424242424244e-5,38.27978928434875,30,r,russnak2021,10
10_russnak2021,21.4691,minutum,-3.446969696969697e-5,37.65866662842876,35,r,russnak2021,10
10_russnak2021,21.4691,minutum,-3.446969696969697e-5,37.05737864138695,40,r,russnak2021,10
11_russnak2021,21.4691,trenchii,-4.924242424242424e-6,40.9836416088657,10,r,russnak2021,11
12_russnak2021,21.4691,trenchii,-7.196969696969697e-6,40.27249044438772,15,r,russnak2021,12
12_russnak2021,21.4691,trenchii,-1.0606060606060607e-5,39.58559823145258,20,r,russnak2021,12
12_russnak2021,21.4691,trenchii,-1.7424242424242425e-5,38.92174449622782,25,r,russnak2021,12
12_russnak2021,21.4691,trenchii,-2.6515151515151516e-5,38.27978928434875,30,r,russnak2021,12
12_russnak2021,21.4691,trenchii,-2.7651515151515155e-5,37.65866662842876,35,r,russnak2021,12
12_russnak2021,21.4691,trenchii,-2.5378787878787883e-5,37.05737864138695,40,r,russnak2021,12
14_russnak2021,21.4691,minutum,-7.196969696969697e-6,40.9836416088657,10,r,russnak2021,14
14_russnak2021,21.4691,minutum,-7.196969696969697e-6,40.27249044438772,15,r,russnak2021,14
14_russnak2021,21.4691,minutum,-8.333333333333334e-6,39.58559823145258,20,r,russnak2021,14
14_russnak2021,21.4691,minutum,-1.0606060606060607e-5,38.92174449622782,25,r,russnak2021,14
14_russnak2021,21.4691,minutum,-1.4015151515151517e-5,38.27978928434875,30,r,russnak2021,14
14_russnak2021,21.4691,minutum,-2.1969696969696972e-5,37.65866662842876,35,r,russnak2021,14
14_russnak2021,21.4691,minutum,-1.9696969696969697e-5,37.05737864138695,40,r,russnak2021,14
16_russnak2021,21.4691,linucheae,-1.1742424242424245e-5,40.9836416088657,10,r,russnak2021,16
16_russnak2021,21.4691,linucheae,-1.1742424242424245e-5,40.27249044438772,15,r,russnak2021,16
16_russnak2021,21.4691,linucheae,-1.5151515151515153e-5,39.58559823145258,20,r,russnak2021,16
16_russnak2021,21.4691,linucheae,-2.5378787878787883e-5,38.92174449622782,25,r,russnak2021,16
16_russnak2021,21.4691,linucheae,-3.6742424242424246e-5,38.27978928434875,30,r,russnak2021,16
16_russnak2021,21.4691,linucheae,-4.696969696969698e-5,37.65866662842876,35,r,russnak2021,16
16_russnak2021,21.4691,linucheae,-6.856060606060606e-5,37.05737864138695,40,r,russnak2021,16
18_russnak2021,-8.7832,voratum,-4.638218924242425e-6,40.9836416088657,10,r,russnak2021,18
18_russnak2021,-8.7832,voratum,-8.503401359848487e-6,40.27249044438772,15,r,russnak2021,18
18_russnak2021,-8.7832,voratum,-1.2368583795454545e-5,39.58559823145258,20,r,russnak2021,18
18_russnak2021,-8.7832,voratum,-2.0098948670454546e-5,38.92174449622782,25,r,russnak2021,18
18_russnak2021,-8.7832,voratum,-2.9761904761363637e-5,38.27978928434875,30,r,russnak2021,18
18_russnak2021,-8.7832,voratum,-5.875077303030304e-5,37.65866662842876,35,r,russnak2021,18
18_russnak2021,-8.7832,voratum,-4.329004329545455e-5,37.05737864138695,40,r,russnak2021,18
20_russnak2021,21.4691,minutum,-1.3030595909090911e-5,39.58559823145258,20,r,russnak2021,20
20_russnak2021,21.4691,minutum,-1.1363636363636365e-5,39.31735768778696,22,r,russnak2021,20
20_russnak2021,21.4691,minutum,-1.3601706496212125e-5,39.052727987717724,24,r,russnak2021,20
20_russnak2021,21.4691,minutum,-1.5061211340909092e-5,38.79163670917708,26,r,russnak2021,20
20_russnak2021,21.4691,minutum,-1.886129334469697e-5,38.53401335397749,28,r,russnak2021,20
20_russnak2021,21.4691,minutum,-1.7975339738636366e-5,38.27978928434875,30,r,russnak2021,20
20_russnak2021,21.4691,minutum,-2.0996856450757577e-5,38.028897661970575,32,r,russnak2021,20
20_russnak2021,21.4691,minutum,-2.167291471590909e-5,37.781273389387344,34,r,russnak2021,20
22_russnak2021,-8.7832,minutum,-3.077651515151515e-5,39.58559823145258,20,r,russnak2021,22
22_russnak2021,-8.7832,minutum,-2.787103994318182e-5,39.31735768778696,22,r,russnak2021,22
22_russnak2021,-8.7832,minutum,-3.368199035984849e-5,39.052727987717724,24,r,russnak2021,22
22_russnak2021,-8.7832,minutum,-3.561897382954546e-5,38.79163670917708,26,r,russnak2021,22
22_russnak2021,-8.7832,minutum,-3.755595729924243e-5,38.53401335397749,28,r,russnak2021,22
22_russnak2021,-8.7832,minutum,-4.1429924242424245e-5,38.27978928434875,30,r,russnak2021,22
22_russnak2021,-8.7832,minutum,-4.433539943181819e-5,38.028897661970575,32,r,russnak2021,22
22_russnak2021,-8.7832,minutum,-5.402031681818182e-5,37.781273389387344,34,r,russnak2021,22
24_russnak2021,21.4691,minutum,-9.554004640151516e-6,39.58559823145258,20,r,russnak2021,24
24_russnak2021,21.4691,minutum,-1.0876986549242426e-5,39.31735768778696,22,r,russnak2021,24
24_russnak2021,21.4691,minutum,-1.3746041431818182e-5,39.052727987717724,24,r,russnak2021,24
24_russnak2021,21.4691,minutum,-1.6620284477272725e-5,38.79163670917708,26,r,russnak2021,24
24_russnak2021,21.4691,minutum,-1.9489339359848487e-5,38.53401335397749,28,r,russnak2021,24
24_russnak2021,21.4691,minutum,-2.158535775378788e-5,38.27978928434875,30,r,russnak2021,24
24_russnak2021,21.4691,minutum,-2.2140491340909095e-5,38.028897661970575,32,r,russnak2021,24
24_russnak2021,21.4691,minutum,-2.269043676136364e-5,37.781273389387344,34,r,russnak2021,24
26_russnak2021,21.4691,trenchii,-2.0392079954545457e-5,39.58559823145258,20,r,russnak2021,26
26_russnak2021,21.4691,trenchii,-2.2482910185606063e-5,39.31735768778696,22,r,russnak2021,26
26_russnak2021,21.4691,trenchii,-3.076322048106061e-5,39.052727987717724,24,r,russnak2021,26
26_russnak2021,21.4691,trenchii,-3.36270871969697e-5,38.79163670917708,26,r,russnak2021,26
26_russnak2021,21.4691,trenchii,-3.185273499242424e-5,38.53401335397749,28,r,russnak2021,26
26_russnak2021,21.4691,trenchii,-3.008357095075758e-5,38.27978928434875,30,r,russnak2021,26
26_russnak2021,21.4691,trenchii,-2.753618225757576e-5,38.028897661970575,32,r,russnak2021,26
26_russnak2021,21.4691,trenchii,-2.5761830053030304e-5,37.781273389387344,34,r,russnak2021,26
28_russnak2021,21.4691,minutum,-9.696244742424244e-6,39.58559823145258,20,r,russnak2021,28
28_russnak2021,21.4691,minutum,-1.259605625757576e-5,39.31735768778696,22,r,russnak2021,28
28_russnak2021,21.4691,minutum,-1.5495867768939398e-5,39.052727987717724,24,r,russnak2021,28
28_russnak2021,21.4691,minutum,-2.057053791666667e-5,38.79163670917708,26,r,russnak2021,28
28_russnak2021,21.4691,minutum,-2.4920255181818183e-5,38.53401335397749,28,r,russnak2021,28
28_russnak2021,21.4691,minutum,-2.78200666969697e-5,38.27978928434875,30,r,russnak2021,28
28_russnak2021,21.4691,minutum,-2.926997245075758e-5,38.028897661970575,32,r,russnak2021,28
28_russnak2021,21.4691,minutum,-3.0719878208333334e-5,37.781273389387344,34,r,russnak2021,28
30_russnak2021,-8.7832,voratum,-2.21618664469697e-5,39.58559823145258,20,r,russnak2021,30
30_russnak2021,-8.7832,voratum,-1.2523596920454546e-5,39.31735768778696,22,r,russnak2021,30
30_russnak2021,-8.7832,voratum,-1.3080647443181819e-5,39.052727987717724,24,r,russnak2021,30
30_russnak2021,-8.7832,voratum,-1.599803762878788e-5,38.79163670917708,26,r,russnak2021,30
30_russnak2021,-8.7832,voratum,-1.7345322613636364e-5,38.53401335397749,28,r,russnak2021,30
30_russnak2021,-8.7832,voratum,-2.261787059469697e-5,38.27978928434875,30,r,russnak2021,30
30_russnak2021,-8.7832,voratum,-2.4750208181818184e-5,38.028897661970575,32,r,russnak2021,30
30_russnak2021,-8.7832,voratum,-2.216704831060606e-5,37.781273389387344,34,r,russnak2021,30
32_russnak2021,-8.7832,psygmophilum,-3.3417189875e-5,39.58559823145258,20,r,russnak2021,32
32_russnak2021,-8.7832,psygmophilum,-3.3239387545454554e-5,39.31735768778696,22,r,russnak2021,32
32_russnak2021,-8.7832,psygmophilum,-4.055409268939394e-5,39.052727987717724,24,r,russnak2021,32
32_russnak2021,-8.7832,psygmophilum,-5.0366300378787875e-5,38.79163670917708,26,r,russnak2021,32
32_russnak2021,-8.7832,psygmophilum,-5.5183503030303043e-5,38.53401335397749,28,r,russnak2021,32
32_russnak2021,-8.7832,psygmophilum,-5.875608939393939e-5,38.27978928434875,30,r,russnak2021,32
32_russnak2021,-8.7832,psygmophilum,-6.107578954545455e-5,38.028897661970575,32,r,russnak2021,32
32_russnak2021,-8.7832,psygmophilum,-5.715173348484849e-5,37.781273389387344,34,r,russnak2021,32
34_russnak2021,-8.7832,psygmophilum,-1.8523143522727274e-5,39.58559823145258,20,r,russnak2021,34
34_russnak2021,-8.7832,psygmophilum,-2.4766899765151515e-5,39.31735768778696,22,r,russnak2021,34
34_russnak2021,-8.7832,psygmophilum,-2.7264402265151516e-5,39.052727987717724,24,r,russnak2021,34
34_russnak2021,-8.7832,psygmophilum,-3.1010656011363636e-5,38.79163670917708,26,r,russnak2021,34
34_russnak2021,-8.7832,psygmophilum,-3.850316348484849e-5,38.53401335397749,28,r,russnak2021,34
34_russnak2021,-8.7832,psygmophilum,-4.2249417234848486e-5,38.27978928434875,30,r,russnak2021,34
34_russnak2021,-8.7832,psygmophilum,-4.474691973484849e-5,38.028897661970575,32,r,russnak2021,34
34_russnak2021,-8.7832,psygmophilum,-4.599567098484849e-5,37.781273389387344,34,r,russnak2021,34
36_russnak2021,21.4691,linucheae,-1.913565709090909e-5,39.58559823145258,20,r,russnak2021,36
36_russnak2021,21.4691,linucheae,-1.992070968939394e-5,39.31735768778696,22,r,russnak2021,36
36_russnak2021,21.4691,linucheae,-2.3060920083333337e-5,39.052727987717724,24,r,russnak2021,36
36_russnak2021,21.4691,linucheae,-2.620113047727273e-5,38.79163670917708,26,r,russnak2021,36
36_russnak2021,21.4691,linucheae,-2.8556288272727276e-5,38.53401335397749,28,r,russnak2021,36
36_russnak2021,21.4691,linucheae,-2.9341340871212125e-5,38.27978928434875,30,r,russnak2021,36
36_russnak2021,21.4691,linucheae,-3.0126393469696975e-5,38.028897661970575,32,r,russnak2021,36
36_russnak2021,21.4691,linucheae,-3.091144606818182e-5,37.781273389387344,34,r,russnak2021,36
1_karako-lampert2005,24.691402,microadriaticum,-8.241174242424243e-5,39.35736178243284,21.7,r,karako-lampert2005,1
1_karako-lampert2005,24.691402,microadriaticum,-1.668840909090909e-4,39.99489271601007,17,r,karako-lampert2005,1
