tpc_grp,depth_broad,broad_coral,latitude,species,mol_gCmin,sd_molgCmin,temp,cnidarian_type,metabolic_category,study_id
2_jiang2021,shallow,hard,18.2217,damicornis,-2.2437258992805755e-4,1.5276431654676257e-4,33,brooding coral,npp,jiang2021
1_castillohelmuth2005,shallow,hard,16.1,annularis,6.385959131097561e-11,NA,30,hermatypic coral,npp,castillohelmuth2005
1_castillohelmuth2005,shallow,hard,16.1,annularis,9.132608219004066e-11,NA,30,hermatypic coral,npp,castillohelmuth2005
1_castillohelmuth2005,shallow,hard,16.1,annularis,1.3595912985264226e-10,NA,30,hermatypic coral,npp,castillohelmuth2005
1_castillohelmuth2005,shallow,hard,16.1,annularis,1.0849263897357724e-10,NA,31,hermatypic coral,npp,castillohelmuth2005
1_castillohelmuth2005,shallow,hard,16.1,annularis,1.2565919578252032e-10,NA,31,hermatypic coral,npp,castillohelmuth2005
1_castillohelmuth2005,shallow,hard,16.1,annularis,1.6685893211382112e-10,NA,31,hermatypic coral,npp,castillohelmuth2005
1_castillohelmuth2005,shallow,hard,16.1,annularis,1.4625906394817072e-10,NA,32,hermatypic coral,npp,castillohelmuth2005
1_castillohelmuth2005,shallow,hard,16.1,annularis,1.771588661839431e-10,NA,32,hermatypic coral,npp,castillohelmuth2005
1_castillohelmuth2005,shallow,hard,16.1,annularis,1.9089211163617885e-10,NA,32,hermatypic coral,npp,castillohelmuth2005
1_castillohelmuth2005,shallow,hard,16.1,annularis,1.4969237530487805e-10,NA,33,hermatypic coral,npp,castillohelmuth2005
1_castillohelmuth2005,shallow,hard,16.1,annularis,1.59992309375e-10,NA,33,hermatypic coral,npp,castillohelmuth2005
1_castillohelmuth2005,shallow,hard,16.1,annularis,2.1835860251524387e-10,NA,33,hermatypic coral,npp,castillohelmuth2005
1_castillohelmuth2005,shallow,hard,16.1,annularis,3.6393100406504066e-11,NA,34,hermatypic coral,npp,castillohelmuth2005
1_castillohelmuth2005,shallow,hard,16.1,annularis,8.102614809451219e-11,NA,34,hermatypic coral,npp,castillohelmuth2005
1_castillohelmuth2005,shallow,hard,16.1,annularis,8.445945945121949e-11,NA,34,hermatypic coral,npp,castillohelmuth2005
1_castillohelmuth2005,shallow,hard,16.1,annularis,2.2659854977134142e-11,NA,35,hermatypic coral,npp,castillohelmuth2005
1_castillohelmuth2005,shallow,hard,16.1,annularis,3.295978904979675e-11,NA,35,hermatypic coral,npp,castillohelmuth2005
1_castillohelmuth2005,shallow,hard,16.1,annularis,5.3559657215447155e-11,NA,35,hermatypic coral,npp,castillohelmuth2005
2_castillohelmuth2005,shallow,hard,16.1,annularis,1.1192595033028456e-10,NA,30,hermatypic coral,npp,castillohelmuth2005
2_castillohelmuth2005,shallow,hard,16.1,annularis,1.1879257306910568e-10,NA,30,hermatypic coral,npp,castillohelmuth2005
2_castillohelmuth2005,shallow,hard,16.1,annularis,1.5312568666158536e-10,NA,30,hermatypic coral,npp,castillohelmuth2005
2_castillohelmuth2005,shallow,hard,16.1,annularis,1.9089211163617885e-10,NA,31,hermatypic coral,npp,castillohelmuth2005
2_castillohelmuth2005,shallow,hard,16.1,annularis,2.046253570630081e-10,NA,31,hermatypic coral,npp,castillohelmuth2005
2_castillohelmuth2005,shallow,hard,16.1,annularis,2.217919138719512e-10,NA,31,hermatypic coral,npp,castillohelmuth2005
2_castillohelmuth2005,shallow,hard,16.1,annularis,2.1835860251524387e-10,NA,32,hermatypic coral,npp,castillohelmuth2005
2_castillohelmuth2005,shallow,hard,16.1,annularis,2.2865853658536583e-10,NA,32,hermatypic coral,npp,castillohelmuth2005
2_castillohelmuth2005,shallow,hard,16.1,annularis,2.389584706554878e-10,NA,32,hermatypic coral,npp,castillohelmuth2005
2_castillohelmuth2005,shallow,hard,16.1,annularis,2.046253570630081e-10,NA,33,hermatypic coral,npp,castillohelmuth2005
2_castillohelmuth2005,shallow,hard,16.1,annularis,2.6985827286585366e-10,NA,33,hermatypic coral,npp,castillohelmuth2005
2_castillohelmuth2005,shallow,hard,16.1,annularis,2.8530817403455285e-10,NA,33,hermatypic coral,npp,castillohelmuth2005
2_castillohelmuth2005,shallow,hard,16.1,annularis,5.699296857215447e-11,NA,34,hermatypic coral,npp,castillohelmuth2005
2_castillohelmuth2005,shallow,hard,16.1,annularis,7.072621402439023e-11,NA,34,hermatypic coral,npp,castillohelmuth2005
2_castillohelmuth2005,shallow,hard,16.1,annularis,9.132608219004066e-11,NA,34,hermatypic coral,npp,castillohelmuth2005
2_castillohelmuth2005,shallow,hard,16.1,annularis,8.926609537601627e-12,NA,35,hermatypic coral,npp,castillohelmuth2005
2_castillohelmuth2005,shallow,hard,16.1,annularis,2.609316633638211e-11,NA,35,hermatypic coral,npp,castillohelmuth2005
2_castillohelmuth2005,shallow,hard,16.1,annularis,1.922654361788618e-11,NA,35,hermatypic coral,npp,castillohelmuth2005
5_silbiger2019,shallow,hard,9.14,franksi,1.603726768292683e-10,NA,21,hermatypic coral,npp,silbiger2019
5_silbiger2019,shallow,hard,9.14,franksi,1.7324090414634145e-10,NA,26,hermatypic coral,npp,silbiger2019
5_silbiger2019,shallow,hard,9.14,franksi,3.2904790105691056e-10,NA,28,hermatypic coral,npp,silbiger2019
5_silbiger2019,shallow,hard,9.14,franksi,1.6937977658536588e-10,NA,29,hermatypic coral,npp,silbiger2019
5_silbiger2019,shallow,hard,9.14,franksi,2.1543043040650406e-10,NA,30,hermatypic coral,npp,silbiger2019
5_silbiger2019,shallow,hard,9.14,franksi,1.9355634365853657e-10,NA,31,hermatypic coral,npp,silbiger2019
5_silbiger2019,shallow,hard,9.14,franksi,1.9472358861788616e-10,NA,33,hermatypic coral,npp,silbiger2019
5_silbiger2019,shallow,hard,9.14,franksi,2.819165070731707e-10,NA,34,hermatypic coral,npp,silbiger2019
5_silbiger2019,shallow,hard,9.14,franksi,2.400544268292683e-11,NA,36,hermatypic coral,npp,silbiger2019
6_silbiger2019,shallow,hard,9.14,franksi,1.2808098422764226e-10,NA,22,hermatypic coral,npp,silbiger2019
6_silbiger2019,shallow,hard,9.14,franksi,1.9514961796747964e-10,NA,26,hermatypic coral,npp,silbiger2019
6_silbiger2019,shallow,hard,9.14,franksi,1.4551095243902438e-10,NA,28,hermatypic coral,npp,silbiger2019
6_silbiger2019,shallow,hard,9.14,franksi,2.1494428065040648e-10,NA,29,hermatypic coral,npp,silbiger2019
6_silbiger2019,shallow,hard,9.14,franksi,2.0039723739837396e-10,NA,30,hermatypic coral,npp,silbiger2019
6_silbiger2019,shallow,hard,9.14,franksi,2.1427906032520325e-10,NA,31,hermatypic coral,npp,silbiger2019
6_silbiger2019,shallow,hard,9.14,franksi,2.0707879886178862e-10,NA,32,hermatypic coral,npp,silbiger2019
6_silbiger2019,shallow,hard,9.14,franksi,2.1070769528455285e-10,NA,33,hermatypic coral,npp,silbiger2019
6_silbiger2019,shallow,hard,9.14,franksi,2.8587329796747965e-10,NA,34,hermatypic coral,npp,silbiger2019
6_silbiger2019,shallow,hard,9.14,franksi,3.948946894308943e-11,NA,36,hermatypic coral,npp,silbiger2019
7_silbiger2019,shallow,hard,9.14,franksi,1.6272347113821136e-10,NA,21,hermatypic coral,npp,silbiger2019
7_silbiger2019,shallow,hard,9.14,franksi,1.3097622097560976e-10,NA,28,hermatypic coral,npp,silbiger2019
7_silbiger2019,shallow,hard,9.14,franksi,1.0583275666666665e-10,NA,29,hermatypic coral,npp,silbiger2019
