tpc_grp,depth_broad,broad_coral,latitude,species,mol_gCmin,inv_T,temp,cnidarian_type,metabolic_category,study_id
2_jurriaans2019,shallow,hard,-18.37,spp,3.8370965303030296e-11,37.9046811090979,33,hermatypic coral,gpp,jurriaans2019
2_jurriaans2019,shallow,hard,-18.37,spp,2.1176520909090912e-11,37.781273389387344,34,hermatypic coral,gpp,jurriaans2019
3_jurriaans2019,shallow,hard,-14.4,spp,3.191919196969697e-11,39.31735768778696,22,hermatypic coral,gpp,jurriaans2019
3_jurriaans2019,shallow,hard,-14.4,spp,3.107438015151515e-11,39.18459605453426,23,hermatypic coral,gpp,jurriaans2019
3_jurriaans2019,shallow,hard,-14.4,spp,3.270890727272727e-11,39.052727987717724,24,hermatypic coral,gpp,jurriaans2019
3_jurriaans2019,shallow,hard,-14.4,spp,3.2966023863636364e-11,38.92174449622782,25,hermatypic coral,gpp,jurriaans2019
3_jurriaans2019,shallow,hard,-14.4,spp,2.9366391136363634e-11,38.79163670917708,26,hermatypic coral,gpp,jurriaans2019
3_jurriaans2019,shallow,hard,-14.4,spp,2.7695133181818176e-11,38.66239587389746,27,hermatypic coral,gpp,jurriaans2019
3_jurriaans2019,shallow,hard,-14.4,spp,3.043158863636363e-11,38.53401335397749,28,hermatypic coral,gpp,jurriaans2019
3_jurriaans2019,shallow,hard,-14.4,spp,2.903581265151515e-11,38.40648062733848,29,hermatypic coral,gpp,jurriaans2019
3_jurriaans2019,shallow,hard,-14.4,spp,3.1773937727272725e-11,38.27978928434875,30,hermatypic coral,gpp,jurriaans2019
3_jurriaans2019,shallow,hard,-14.4,spp,2.240587696969697e-11,38.27978928434875,30,hermatypic coral,gpp,jurriaans2019
3_jurriaans2019,shallow,hard,-14.4,spp,3.368227734848484e-11,38.15393102597508,31,hermatypic coral,gpp,jurriaans2019
3_jurriaans2019,shallow,hard,-14.4,spp,2.8429752045454545e-11,38.028897661970575,32,hermatypic coral,gpp,jurriaans2019
3_jurriaans2019,shallow,hard,-14.4,spp,1.2708907272727272e-11,37.9046811090979,33,hermatypic coral,gpp,jurriaans2019
3_jurriaans2019,shallow,hard,-14.4,spp,2.773186439393939e-12,37.781273389387344,34,hermatypic coral,gpp,jurriaans2019
7_jurriaans2019,shallow,hard,-23.26,cylindrica,1.0055242409090908e-10,39.31735768778696,22,hermatypic coral,gpp,jurriaans2019
7_jurriaans2019,shallow,hard,-23.26,cylindrica,1.0787467022727273e-10,39.18459605453426,23,hermatypic coral,gpp,jurriaans2019
7_jurriaans2019,shallow,hard,-23.26,cylindrica,1.063546846969697e-10,39.052727987717724,24,hermatypic coral,gpp,jurriaans2019
7_jurriaans2019,shallow,hard,-23.26,cylindrica,1.0854729712121213e-10,38.92174449622782,25,hermatypic coral,gpp,jurriaans2019
7_jurriaans2019,shallow,hard,-23.26,cylindrica,1.0507888090909092e-10,38.79163670917708,26,hermatypic coral,gpp,jurriaans2019
7_jurriaans2019,shallow,hard,-23.26,cylindrica,1.1860549363636364e-10,38.66239587389746,27,hermatypic coral,gpp,jurriaans2019
7_jurriaans2019,shallow,hard,-23.26,cylindrica,1.3741759424242422e-10,38.53401335397749,28,hermatypic coral,gpp,jurriaans2019
7_jurriaans2019,shallow,hard,-23.26,cylindrica,1.2257858696969696e-10,38.53401335397749,28,hermatypic coral,gpp,jurriaans2019
7_jurriaans2019,shallow,hard,-23.26,cylindrica,1.657997821969697e-10,38.40648062733848,29,hermatypic coral,gpp,jurriaans2019
7_jurriaans2019,shallow,hard,-23.26,cylindrica,1.633466371969697e-10,38.27978928434875,30,hermatypic coral,gpp,jurriaans2019
7_jurriaans2019,shallow,hard,-23.26,cylindrica,1.5421612515151515e-10,38.15393102597508,31,hermatypic coral,gpp,jurriaans2019
7_jurriaans2019,shallow,hard,-23.26,cylindrica,1.4514507477272728e-10,38.028897661970575,32,hermatypic coral,gpp,jurriaans2019
7_jurriaans2019,shallow,hard,-18.37,cylindrica,7.663871287878787e-11,37.9046811090979,33,hermatypic coral,gpp,jurriaans2019
8_jurriaans2019,shallow,hard,-18.37,cylindrica,2.6967780909090906e-11,39.18459605453426,23,hermatypic coral,gpp,jurriaans2019
8_jurriaans2019,shallow,hard,-18.37,cylindrica,3.011954287878788e-11,39.052727987717724,24,hermatypic coral,gpp,jurriaans2019
8_jurriaans2019,shallow,hard,-18.37,cylindrica,3.0963909848484846e-11,38.92174449622782,25,hermatypic coral,gpp,jurriaans2019
8_jurriaans2019,shallow,hard,-18.37,cylindrica,3.067162893939394e-11,38.79163670917708,26,hermatypic coral,gpp,jurriaans2019
8_jurriaans2019,shallow,hard,-18.37,cylindrica,3.0495448484848485e-11,38.66239587389746,27,hermatypic coral,gpp,jurriaans2019
8_jurriaans2019,shallow,hard,-18.37,cylindrica,2.960155621212121e-11,38.53401335397749,28,hermatypic coral,gpp,jurriaans2019
8_jurriaans2019,shallow,hard,-18.37,cylindrica,3.00870671969697e-11,38.40648062733848,29,hermatypic coral,gpp,jurriaans2019
8_jurriaans2019,shallow,hard,-18.37,cylindrica,2.2885591515151512e-11,38.40648062733848,29,hermatypic coral,gpp,jurriaans2019
8_jurriaans2019,shallow,hard,-18.37,cylindrica,2.509393583333333e-11,38.27978928434875,30,hermatypic coral,gpp,jurriaans2019
8_jurriaans2019,shallow,hard,-18.37,cylindrica,2.5240076212121208e-11,38.15393102597508,31,hermatypic coral,gpp,jurriaans2019
8_jurriaans2019,shallow,hard,-18.37,cylindrica,2.6284168484848482e-11,38.028897661970575,32,hermatypic coral,gpp,jurriaans2019
8_jurriaans2019,shallow,hard,-18.37,cylindrica,2.7122040303030303e-11,37.9046811090979,33,hermatypic coral,gpp,jurriaans2019
8_jurriaans2019,shallow,hard,-18.37,cylindrica,1.9967654318181817e-11,37.781273389387344,34,hermatypic coral,gpp,jurriaans2019
9_jurriaans2019,shallow,hard,-14.4,cylindrica,6.042568537878787e-11,39.31735768778696,22,hermatypic coral,gpp,jurriaans2019
9_jurriaans2019,shallow,hard,-14.4,cylindrica,6.739609787878788e-11,39.18459605453426,23,hermatypic coral,gpp,jurriaans2019
9_jurriaans2019,shallow,hard,-14.4,cylindrica,6.487838787878787e-11,39.052727987717724,24,hermatypic coral,gpp,jurriaans2019
9_jurriaans2019,shallow,hard,-14.4,cylindrica,6.807816166666666e-11,38.92174449622782,25,hermatypic coral,gpp,jurriaans2019
9_jurriaans2019,shallow,hard,-14.4,cylindrica,6.416184371212121e-11,38.79163670917708,26,hermatypic coral,gpp,jurriaans2019
9_jurriaans2019,shallow,hard,-14.4,cylindrica,6.480727227272727e-11,38.66239587389746,27,hermatypic coral,gpp,jurriaans2019
9_jurriaans2019,shallow,hard,-14.4,cylindrica,7.668251037878786e-11,38.53401335397749,28,hermatypic coral,gpp,jurriaans2019
9_jurriaans2019,shallow,hard,-14.4,cylindrica,7.771207121212121e-11,38.40648062733848,29,hermatypic coral,gpp,jurriaans2019
9_jurriaans2019,shallow,hard,-14.4,cylindrica,7.481992651515152e-11,38.27978928434875,30,hermatypic coral,gpp,jurriaans2019
9_jurriaans2019,shallow,hard,-14.4,cylindrica,6.11014996969697e-11,38.27978928434875,30,hermatypic coral,gpp,jurriaans2019
9_jurriaans2019,shallow,hard,-14.4,cylindrica,8.403608537878787e-11,38.15393102597508,31,hermatypic coral,gpp,jurriaans2019
9_jurriaans2019,shallow,hard,-14.4,cylindrica,6.793377537878788e-11,38.028897661970575,32,hermatypic coral,gpp,jurriaans2019
9_jurriaans2019,shallow,hard,-14.4,cylindrica,4.9081228787878785e-11,37.9046811090979,33,hermatypic coral,gpp,jurriaans2019
9_jurriaans2019,shallow,hard,-14.4,cylindrica,2.3562558560606057e-11,37.781273389387344,34,hermatypic coral,gpp,jurriaans2019
1_jurriaans2021,shallow,hard,42.5,caespitosa,7.323595280303029e-11,40.696188397511214,12,hermatypic coral,gpp,jurriaans2021
1_jurriaans2021,shallow,hard,42.5,caespitosa,7.880009863636364e-11,40.55396862327563,13,hermatypic coral,gpp,jurriaans2021
1_jurriaans2021,shallow,hard,42.5,caespitosa,7.87982259090909e-11,40.41273940989142,14,hermatypic coral,gpp,jurriaans2021
1_jurriaans2021,shallow,hard,42.5,caespitosa,7.975543454545453e-11,40.27249044438772,15,hermatypic coral,gpp,jurriaans2021
1_jurriaans2021,shallow,hard,42.5,caespitosa,7.987739818181817e-11,40.1332115564597,16,hermatypic coral,gpp,jurriaans2021
1_jurriaans2021,shallow,hard,42.5,caespitosa,8.232091439393938e-11,39.99489271601007,17,hermatypic coral,gpp,jurriaans2021
1_jurriaans2021,shallow,hard,42.5,caespitosa,8.138969787878788e-11,39.857524030741274,18,hermatypic coral,gpp,jurriaans2021
1_jurriaans2021,shallow,hard,42.5,caespitosa,9.322671295454545e-11,39.857524030741274,18,hermatypic coral,gpp,jurriaans2021
1_jurriaans2021,shallow,hard,42.5,caespitosa,9.521379477272727e-11,39.7210957437971,19,hermatypic coral,gpp,jurriaans2021
1_jurriaans2021,shallow,hard,42.5,caespitosa,7.74563993939394e-11,39.58559823145258,20,hermatypic coral,gpp,jurriaans2021
1_jurriaans2021,shallow,hard,42.5,caespitosa,9.148497106060606e-11,39.451022000851,21,hermatypic coral,gpp,jurriaans2021
1_jurriaans2021,shallow,hard,42.5,caespitosa,1.0132774303030302e-10,39.31735768778696,22,hermatypic coral,gpp,jurriaans2021
1_jurriaans2021,shallow,hard,42.5,caespitosa,7.777996333333333e-11,39.18459605453426,23,hermatypic coral,gpp,jurriaans2021
2_jurriaans2021,shallow,hard,42.5,singularis,3.5657623333333334e-11,40.696188397511214,12,hermatypic coral,gpp,jurriaans2021
2_jurriaans2021,shallow,hard,42.5,singularis,3.8354751742424234e-11,40.55396862327563,13,hermatypic coral,gpp,jurriaans2021
2_jurriaans2021,shallow,hard,42.5,singularis,3.490401393939394e-11,40.41273940989142,14,hermatypic coral,gpp,jurriaans2021
2_jurriaans2021,shallow,hard,42.5,singularis,4.0615579848484854e-11,40.27249044438772,15,hermatypic coral,gpp,jurriaans2021
2_jurriaans2021,shallow,hard,42.5,singularis,4.3986990378787873e-11,40.1332115564597,16,hermatypic coral,gpp,jurriaans2021
2_jurriaans2021,shallow,hard,42.5,singularis,4.489925431818181e-11,39.99489271601007,17,hermatypic coral,gpp,jurriaans2021
2_jurriaans2021,shallow,hard,42.5,singularis,4.2598762499999993e-11,39.857524030741274,18,hermatypic coral,gpp,jurriaans2021
2_jurriaans2021,shallow,hard,42.5,singularis,4.898461053030302e-11,39.857524030741274,18,hermatypic coral,gpp,jurriaans2021
2_jurriaans2021,shallow,hard,42.5,singularis,4.9539901666666666e-11,39.7210957437971,19,hermatypic coral,gpp,jurriaans2021
2_jurriaans2021,shallow,hard,42.5,singularis,5.03331746969697e-11,39.58559823145258,20,hermatypic coral,gpp,jurriaans2021
2_jurriaans2021,shallow,hard,42.5,singularis,3.795811515151516e-11,39.451022000851,21,hermatypic coral,gpp,jurriaans2021
2_jurriaans2021,shallow,hard,42.5,singularis,4.04569253030303e-11,39.31735768778696,22,hermatypic coral,gpp,jurriaans2021
2_jurriaans2021,shallow,hard,42.5,singularis,3.4904014015151513e-11,39.18459605453426,23,hermatypic coral,gpp,jurriaans2021
3_jurriaans2021,shallow,hard,-25,intermedia,8.841028083333333e-11,39.31735768778696,22,hermatypic coral,gpp,jurriaans2021
3_jurriaans2021,shallow,hard,-25,intermedia,9.007615424242426e-11,39.18459605453426,23,hermatypic coral,gpp,jurriaans2021
3_jurriaans2021,shallow,hard,-25,intermedia,8.460257022727271e-11,39.052727987717724,24,hermatypic coral,gpp,jurriaans2021
3_jurriaans2021,shallow,hard,-25,intermedia,8.841028083333333e-11,38.92174449622782,25,hermatypic coral,gpp,jurriaans2021
3_jurriaans2021,shallow,hard,-25,intermedia,8.603046166666667e-11,38.79163670917708,26,hermatypic coral,gpp,jurriaans2021
3_jurriaans2021,shallow,hard,-25,intermedia,8.769633507575757e-11,38.66239587389746,27,hermatypic coral,gpp,jurriaans2021
3_jurriaans2021,shallow,hard,-25,intermedia,7.865302234848485e-11,38.53401335397749,28,hermatypic coral,gpp,jurriaans2021
3_jurriaans2021,shallow,hard,-25,intermedia,8.127082348484848e-11,38.53401335397749,28,hermatypic coral,gpp,jurriaans2021
3_jurriaans2021,shallow,hard,-25,intermedia,7.651118515151515e-11,38.40648062733848,29,hermatypic coral,gpp,jurriaans2021
3_jurriaans2021,shallow,hard,-25,intermedia,8.210376007575757e-11,38.27978928434875,30,hermatypic coral,gpp,jurriaans2021
3_jurriaans2021,shallow,hard,-25,intermedia,7.817705856060605e-11,38.15393102597508,31,hermatypic coral,gpp,jurriaans2021
3_jurriaans2021,shallow,hard,-25,intermedia,7.984293196969698e-11,38.028897661970575,32,hermatypic coral,gpp,jurriaans2021
4_jurriaans2021,shallow,hard,-25,cylindrica,1.0100030068181818e-10,39.31735768778696,22,hermatypic coral,gpp,jurriaans2021
4_jurriaans2021,shallow,hard,-25,cylindrica,1.0953436537878789e-10,39.18459605453426,23,hermatypic coral,gpp,jurriaans2021
4_jurriaans2021,shallow,hard,-25,cylindrica,1.050587521212121e-10,39.052727987717724,24,hermatypic coral,gpp,jurriaans2021
4_jurriaans2021,shallow,hard,-25,cylindrica,1.0947057068181818e-10,38.92174449622782,25,hermatypic coral,gpp,jurriaans2021
4_jurriaans2021,shallow,hard,-25,cylindrica,1.0404580348484848e-10,38.79163670917708,26,hermatypic coral,gpp,jurriaans2021
4_jurriaans2021,shallow,hard,-25,cylindrica,1.1797412484848484e-10,38.66239587389746,27,hermatypic coral,gpp,jurriaans2021
4_jurriaans2021,shallow,hard,-25,cylindrica,1.2127536113636364e-10,38.53401335397749,28,hermatypic coral,gpp,jurriaans2021
4_jurriaans2021,shallow,hard,-25,cylindrica,1.3761955954545455e-10,38.53401335397749,28,hermatypic coral,gpp,jurriaans2021
4_jurriaans2021,shallow,hard,-25,cylindrica,1.642402496969697e-10,38.40648062733848,29,hermatypic coral,gpp,jurriaans2021
4_jurriaans2021,shallow,hard,-25,cylindrica,1.6182714636363637e-10,38.27978928434875,30,hermatypic coral,gpp,jurriaans2021
4_jurriaans2021,shallow,hard,-25,cylindrica,1.530678587121212e-10,38.15393102597508,31,hermatypic coral,gpp,jurriaans2021
4_jurriaans2021,shallow,hard,-25,cylindrica,1.4415546378787877e-10,38.028897661970575,32,hermatypic coral,gpp,jurriaans2021
4_jurriaans2021,shallow,hard,-25,cylindrica,7.590069772727272e-11,37.9046811090979,33,hermatypic coral,gpp,jurriaans2021
1_jurriaans2020,shallow,hard,-18,valenciennesi,1.8818320227272725e-11,39.7210957437971,19,hermatypic coral,gpp,jurriaans2020
1_jurriaans2020,shallow,hard,-18,valenciennesi,2.2139200227272724e-11,39.58559823145258,20,hermatypic coral,gpp,jurriaans2020
1_jurriaans2020,shallow,hard,-18,valenciennesi,4.068078037878788e-11,39.451022000851,21,hermatypic coral,gpp,jurriaans2020
1_jurriaans2020,shallow,hard,-18,valenciennesi,4.690743053030303e-11,39.31735768778696,22,hermatypic coral,gpp,jurriaans2020
1_jurriaans2020,shallow,hard,-18,valenciennesi,4.414003045454545e-11,39.18459605453426,23,hermatypic coral,gpp,jurriaans2020
1_jurriaans2020,shallow,hard,-18,valenciennesi,4.6492320454545454e-11,39.052727987717724,24,hermatypic coral,gpp,jurriaans2020
1_jurriaans2020,shallow,hard,-18,valenciennesi,4.981320045454545e-11,39.052727987717724,24,hermatypic coral,gpp,jurriaans2020
1_jurriaans2020,shallow,hard,-18,valenciennesi,5.036668045454545e-11,38.92174449622782,25,hermatypic coral,gpp,jurriaans2020
1_jurriaans2020,shallow,hard,-18,valenciennesi,3.985056037878788e-11,38.79163670917708,26,hermatypic coral,gpp,jurriaans2020
1_jurriaans2020,shallow,hard,-18,valenciennesi,3.7636640378787875e-11,38.66239587389746,27,hermatypic coral,gpp,jurriaans2020
1_jurriaans2020,shallow,hard,-18,valenciennesi,2.6843780227272725e-11,38.53401335397749,28,hermatypic coral,gpp,jurriaans2020
1_jurriaans2020,shallow,hard,-18,valenciennesi,2.352290022727273e-11,38.40648062733848,29,hermatypic coral,gpp,jurriaans2020
1_jurriaans2020,shallow,hard,-18,valenciennesi,3.666805037878788e-11,38.27978928434875,30,hermatypic coral,gpp,jurriaans2020
1_jurriaans2020,shallow,hard,-18,valenciennesi,2.1724090151515154e-11,38.15393102597508,31,hermatypic coral,gpp,jurriaans2020
2_jurriaans2020,shallow,hard,-18,valenciennesi,2.227757015151515e-11,39.18459605453426,23,hermatypic coral,gpp,jurriaans2020
2_jurriaans2020,shallow,hard,-18,valenciennesi,2.2692680227272724e-11,39.052727987717724,24,hermatypic coral,gpp,jurriaans2020
2_jurriaans2020,shallow,hard,-18,valenciennesi,2.5183340303030302e-11,38.92174449622782,25,hermatypic coral,gpp,jurriaans2020
2_jurriaans2020,shallow,hard,-18,valenciennesi,2.2969420227272724e-11,38.79163670917708,26,hermatypic coral,gpp,jurriaans2020
2_jurriaans2020,shallow,hard,-18,valenciennesi,2.2139200227272724e-11,38.66239587389746,27,hermatypic coral,gpp,jurriaans2020
2_jurriaans2020,shallow,hard,-18,valenciennesi,1.660440015151515e-11,38.53401335397749,28,hermatypic coral,gpp,jurriaans2020
2_jurriaans2020,shallow,hard,-18,valenciennesi,2.5183340227272726e-11,38.40648062733848,29,hermatypic coral,gpp,jurriaans2020
2_jurriaans2020,shallow,hard,-18,valenciennesi,3.26553203030303e-11,38.40648062733848,29,hermatypic coral,gpp,jurriaans2020
2_jurriaans2020,shallow,hard,-18,valenciennesi,3.48692403030303e-11,38.27978928434875,30,hermatypic coral,gpp,jurriaans2020
2_jurriaans2020,shallow,hard,-18,valenciennesi,3.21018403030303e-11,38.15393102597508,31,hermatypic coral,gpp,jurriaans2020
