tpc_grp,response_id,study_id,depth_broad,broad_coral,latitude,species,mol_gCmin,metabolic_category
1_silbiger2019,1,silbiger2019,shallow,hard,32.27,franksi,8.092022901515152e-11,npp
1_silbiger2019,1,silbiger2019,shallow,hard,32.27,franksi,8.372436393939395e-11,npp
1_silbiger2019,1,silbiger2019,shallow,hard,32.27,franksi,3.193752568181818e-11,npp
1_silbiger2019,1,silbiger2019,shallow,hard,32.27,franksi,-4.325018075757575e-11,npp
2_silbiger2019,2,silbiger2019,shallow,hard,32.27,franksi,4.6839146212121215e-11,npp
2_silbiger2019,2,silbiger2019,shallow,hard,32.27,franksi,5.113654916666666e-11,npp
2_silbiger2019,2,silbiger2019,shallow,hard,32.27,franksi,5.247376840909091e-11,npp
2_silbiger2019,2,silbiger2019,shallow,hard,32.27,franksi,1.2558718606060607e-10,npp
2_silbiger2019,2,silbiger2019,shallow,hard,32.27,franksi,6.295206257575757e-11,npp
2_silbiger2019,2,silbiger2019,shallow,hard,32.27,franksi,6.025713863636364e-11,npp
2_silbiger2019,2,silbiger2019,shallow,hard,32.27,franksi,7.025355606060607e-12,npp
2_silbiger2019,2,silbiger2019,shallow,hard,32.27,franksi,-4.7601601287878785e-11,npp
3_silbiger2019,3,silbiger2019,shallow,hard,32.27,franksi,6.946124931818181e-11,npp
3_silbiger2019,3,silbiger2019,shallow,hard,32.27,franksi,8.080706212121213e-11,npp
3_silbiger2019,3,silbiger2019,shallow,hard,32.27,franksi,6.795261257575757e-11,npp
3_silbiger2019,3,silbiger2019,shallow,hard,32.27,franksi,9.931801462121211e-11,npp
3_silbiger2019,3,silbiger2019,shallow,hard,32.27,franksi,9.549656719696968e-11,npp
3_silbiger2019,3,silbiger2019,shallow,hard,32.27,franksi,7.795175598484849e-11,npp
3_silbiger2019,3,silbiger2019,shallow,hard,32.27,franksi,4.8266609696969685e-11,npp
3_silbiger2019,3,silbiger2019,shallow,hard,32.27,franksi,-3.904557606060606e-11,npp
4_silbiger2019,4,silbiger2019,shallow,hard,32.27,franksi,6.683083886363636e-11,npp
4_silbiger2019,4,silbiger2019,shallow,hard,32.27,franksi,9.07620146969697e-11,npp
4_silbiger2019,4,silbiger2019,shallow,hard,32.27,franksi,5.7536107575757577e-11,npp
4_silbiger2019,4,silbiger2019,shallow,hard,32.27,franksi,1.0055756568181817e-10,npp
4_silbiger2019,4,silbiger2019,shallow,hard,32.27,franksi,9.731296954545455e-11,npp
4_silbiger2019,4,silbiger2019,shallow,hard,32.27,franksi,5.737644090909089e-11,npp
4_silbiger2019,4,silbiger2019,shallow,hard,32.27,franksi,8.593811969696969e-11,npp
4_silbiger2019,4,silbiger2019,shallow,hard,32.27,franksi,-2.9837056666666664e-11,npp
3_hadjioannou2019,3,hadjioannou2019,shallow,hard,34.58,caespitosa,3.608502636363636e-11,npp
3_hadjioannou2019,3,hadjioannou2019,shallow,hard,34.58,caespitosa,-5.246315303030302e-12,npp
3_hadjioannou2019,3,hadjioannou2019,shallow,hard,34.58,caespitosa,-1.9432765757575753e-11,npp
4_hadjioannou2019,4,hadjioannou2019,shallow,hard,34.58,caespitosa,3.50234553030303e-11,npp
4_hadjioannou2019,4,hadjioannou2019,shallow,hard,34.58,caespitosa,6.028157507575758e-11,npp
4_hadjioannou2019,4,hadjioannou2019,shallow,hard,34.58,caespitosa,1.630120090909091e-11,npp
1_juillet-leclerc2014,1,juillet,shallow,hard,43.7328,sp.,8.1535563e-8,npp
1_juillet-leclerc2014,1,juillet,shallow,hard,43.7328,sp.,1.25058879e-7,npp
