tpc_grp,response_id,study_id,elevation_broad,lichen_type,latitude,species,inv_T,mol_gCmin,metabolic_category
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,39.18459605453426,2.0423841060000003e-6,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,38.92174449622782,1.9064900664000003e-6,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,38.79163670917708,1.9136423844e-6,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,38.66239587389746,1.7777483448e-6,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,38.66239587389746,1.5560264904000005e-6,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,38.27978928434875,1.8778807944e-6,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,37.9046811090979,1.6132450332000002e-6,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,38.40648062733848,1.3700662248000005e-6,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,38.27978928434875,1.13403973512e-6,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,38.028897661970575,9.909933775200002e-7,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,38.27978928434875,7.907284768800001e-7,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,38.15393102597508,7.764238410000001e-7,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,38.028897661970575,6.2622516552e-7,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,37.781273389387344,8.622516556800001e-7,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,37.781273389387344,2.757615894e-7,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,37.781273389387344,1.6132450332000004e-7,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,37.53685305369666,5.618543046000001e-7,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,37.4158249929077,5.9046357612e-7,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,37.29557487240984,4.188079470000001e-7,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,37.4158249929077,1.684768212e-7,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,37.53685305369666,-9.615894036000003e-8,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,37.4158249929077,-1.6768211916000006e-7,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,37.05737864138695,8.264900664e-8,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,36.93941786264626,3.973509936e-8,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,36.82220568475432,-9.615894036000003e-8,npp
1_lange2004,1,lange2004,high,cyanobacteria,8,aurata,37.05737864138695,-2.8927152312e-7,npp
1_reiter2000,1,reiter2000,high,green algae,47.0004,islandica,42.17524303670842,7.637543928e-8,npp
1_reiter2000,1,reiter2000,high,green algae,47.0004,islandica,40.9836416088657,2.6870535564e-7,npp
1_reiter2000,1,reiter2000,high,green algae,47.0004,islandica,39.58559823145258,3.0302275511999996e-7,npp
1_reiter2000,1,reiter2000,high,green algae,47.0004,islandica,38.27978928434875,-2.4134078208e-7,npp
3_reiter2000,3,reiter2000,high,green algae,47.0004,nivalis,42.17524303670842,6.381502896e-8,npp
3_reiter2000,3,reiter2000,high,green algae,47.0004,nivalis,40.9836416088657,7.172413788000002e-8,npp
3_reiter2000,3,reiter2000,high,green algae,47.0004,nivalis,39.58559823145258,-1.5999999995999998e-7,npp
3_reiter2000,3,reiter2000,high,green algae,47.0004,nivalis,38.27978928434875,-6.719999999999999e-7,npp
6_sancho1997,6,sancho1997,high,green algae,40.8509,grisea,42.4840495022893,4.912457143199999e-7,npp
6_sancho1997,6,sancho1997,high,green algae,40.8509,grisea,41.42251694288889,7.786971428399999e-7,npp
6_sancho1997,6,sancho1997,high,green algae,40.8509,grisea,40.41273940989142,1.0793142856799998e-6,npp
6_sancho1997,6,sancho1997,high,green algae,40.8509,grisea,39.451022000851,9.0596571432e-7,npp
6_sancho1997,6,sancho1997,high,green algae,40.8509,grisea,38.53401335397749,9.4985142852e-7,npp
6_sancho1997,6,sancho1997,high,green algae,40.8509,grisea,37.65866662842876,8.0722285716e-7,npp
12_sancho1997,12,sancho1997,high,green algae,40.8509,freyi,42.4840495022893,7.1171461452e-7,npp
12_sancho1997,12,sancho1997,high,green algae,40.8509,freyi,41.42251694288889,1.0740621404399998e-6,npp
12_sancho1997,12,sancho1997,high,green algae,40.8509,freyi,40.41273940989142,1.16906789412e-6,npp
12_sancho1997,12,sancho1997,high,green algae,40.8509,freyi,39.451022000851,1.2198849251999995e-6,npp
12_sancho1997,12,sancho1997,high,green algae,40.8509,freyi,38.53401335397749,1.0608055235999997e-6,npp
12_sancho1997,12,sancho1997,high,green algae,40.8509,freyi,37.65866662842876,8.884695051599998e-7,npp
1_schroeter1995,1,schroeter1995,neutral,green algae,-77,aprina,43.765861291911456,1.5946843799999997e-8,npp
1_schroeter1995,1,schroeter1995,neutral,green algae,-77,aprina,43.42195742394882,5.421926916e-8,npp
1_schroeter1995,1,schroeter1995,neutral,green algae,-77,aprina,43.11543050919681,1.499003322e-7,npp
1_schroeter1995,1,schroeter1995,neutral,green algae,-77,aprina,42.79741147538382,2.3122923588e-7,npp
1_schroeter1995,1,schroeter1995,neutral,green algae,-77,aprina,42.4840495022893,3.843189368399999e-7,npp
1_schroeter1995,1,schroeter1995,neutral,green algae,-77,aprina,42.17524303670842,3.9867109632e-7,npp
1_schroeter1995,1,schroeter1995,neutral,green algae,-77,aprina,41.87089345679351,4.1302325579999994e-7,npp
2_smith2001,2,smith2001,neutral,green algae,-46.8964,complicatulum,38.92174449622782,1.8665766576666668e-6,npp
2_smith2001,2,smith2001,neutral,green algae,-46.8964,complicatulum,38.92174449622782,2.114091409e-6,npp
2_smith2001,2,smith2001,neutral,green algae,-46.8964,complicatulum,38.92174449622782,2.391319132e-6,npp
2_smith2001,2,smith2001,neutral,green algae,-46.8964,complicatulum,39.58559823145258,2.965156515666667e-6,npp
2_smith2001,2,smith2001,neutral,green algae,-46.8964,complicatulum,39.58559823145258,2.8463446343333334e-6,npp
