tpc_grp,latitude,species,mol_gCmin,sd_molgCmin,temp,metabolic_category,study_id
2_pinko2020,32.82,lobifera,-2.5008408396544456e-5,1.3612171367994096e-5,35,npp,pinko2020
1_titelboim2021,32.82,lobifera,8.25773742855826e-4,3.644234296665236e-4,15,npp,titelboim2021
1_titelboim2021,32.82,lobifera,7.018724896623472e-4,2.3213273264622184e-4,25,npp,titelboim2021
1_titelboim2021,32.82,lobifera,5.798608227652233e-4,1.4976305343888e-4,32,npp,titelboim2021
1_titelboim2021,32.82,lobifera,-1.2304948245891277e-4,1.3977634377430328e-4,35,npp,titelboim2021
1_uthicke2012,-9.5221,vertebralis,2.4963683127964098e-11,NA,27.8,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,1.9262433890159216e-11,NA,27.8,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,2.454273499957656e-11,NA,27.8,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,1.3867182958587399e-11,NA,27.8,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,1.5559781609925475e-11,NA,27.8,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,1.7419351784806912e-11,NA,27.8,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,1.104235996781843e-11,NA,27.8,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,1.30525453611958e-11,NA,27.8,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,1.3801310308689024e-11,NA,27.8,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,1.491602050516599e-11,NA,27.8,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,6.444191586212737e-12,NA,27.8,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,8.0552394774729e-12,NA,27.8,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,1.7198798325287942e-11,NA,27.8,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,2.084089678607724e-11,NA,27.8,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,1.8015121834773036e-11,NA,27.8,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,1.4770732681233063e-11,NA,27.8,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,5.861662919207317e-12,NA,27.8,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,1.1720681677676153e-11,NA,27.8,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,-6.981207549966125e-13,NA,29.9,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,-9.979020198170733e-12,NA,29.9,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,-4.219886771680217e-12,NA,29.9,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,-2.6634361238143634e-12,NA,29.9,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,-8.330049405064365e-12,NA,29.9,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,-1.75008845697832e-12,NA,29.9,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,-3.2701118944783198e-12,NA,29.9,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,-1.1991037855691058e-12,NA,29.9,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,-1.4188288861365178e-11,NA,29.9,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,-1.1516720909552847e-11,NA,29.9,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,-1.5895362159129406e-11,NA,29.9,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,1.8594938812669376e-12,NA,29.9,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,9.29228405530149e-12,NA,29.5,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,8.034314659552847e-12,NA,29.5,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,3.3591061780149057e-12,NA,29.5,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,4.41568453590786e-12,NA,29.5,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,3.3827225821476966e-12,NA,29.5,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,6.5534749216632806e-12,NA,29.5,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,6.9010273437500004e-12,NA,29.5,npp,uthicke2012
1_uthicke2012,-9.5221,vertebralis,6.2858073869410565e-12,NA,29.5,npp,uthicke2012
