tpc_grp,lichen_type,elevation_broad,latitude,species,mol_gCmin,inv_T,temp,metabolic_category,study_id,paper_unit
1_lange2004,cyanobacteria,high,8,aurata,3.0111258276000005e-6,38.66239587389746,27,gpp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,3.0683443705200004e-6,38.27978928434875,30,gpp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,3.1041059604000004e-6,37.9046811090979,33,gpp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,2.43894039696e-6,38.40648062733848,29,gpp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,2.70357615912e-6,38.27978928434875,30,gpp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,2.3459602650000002e-6,37.53685305369666,36,gpp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,2.2100662257600003e-6,36.93941786264626,41,gpp,lange2004,1
1_lange2004,cyanobacteria,high,8,aurata,2.34596026524e-6,36.822205684754316,42,gpp,lange2004,1
1_reiter2000,green algae,high,47.0004,islandica,2.411489521199999e-7,42.17524303670842,2,gpp,reiter2000,1
1_reiter2000,green algae,high,47.0004,islandica,5.338421909999999e-7,40.9836416088657,10,gpp,reiter2000,1
1_reiter2000,green algae,high,47.0004,islandica,7.280527309199999e-7,39.58559823145258,20,gpp,reiter2000,1
1_reiter2000,green algae,high,47.0004,islandica,5.591061452399999e-7,38.27978928434875,30,gpp,reiter2000,1
3_reiter2000,green algae,high,47.0004,nivalis,2.6635838159999993e-7,42.17524303670842,2,gpp,reiter2000,3
3_reiter2000,green algae,high,47.0004,nivalis,5.6275862064e-7,40.9836416088657,10,gpp,reiter2000,3
3_reiter2000,green algae,high,47.0004,nivalis,6.233043478799999e-7,39.58559823145258,20,gpp,reiter2000,3
3_reiter2000,green algae,high,47.0004,nivalis,6.344347824e-7,38.27978928434875,30,gpp,reiter2000,3
1_sancho1997,green algae,high,40.8509,grisea,5.792914286399999e-7,42.4840495022893,0,gpp,sancho1997,1
1_sancho1997,green algae,high,40.8509,grisea,9.259885713599999e-7,41.42251694288889,7,gpp,sancho1997,1
1_sancho1997,green algae,high,40.8509,grisea,1.2419657142e-6,40.41273940989142,14,gpp,sancho1997,1
1_sancho1997,green algae,high,40.8509,grisea,1.2309942857999998e-6,39.451022000851,21,gpp,sancho1997,1
1_sancho1997,green algae,high,40.8509,grisea,1.3911771428399998e-6,38.53401335397749,28,gpp,sancho1997,1
1_sancho1997,green algae,high,40.8509,grisea,1.34948571432e-6,37.65866662842876,35,gpp,sancho1997,1
6_sancho1997,green algae,high,40.8509,grisea,8.705178366e-7,42.4840495022893,0,gpp,sancho1997,6
6_sancho1997,green algae,high,40.8509,grisea,1.3168239356399998e-6,41.42251694288889,7,gpp,sancho1997,6
