tpc_grp,lichen_type,elevation_broad,latitude,species,mol_gCmin,sd_molgCmin,temp,metabolic_category,study_id,paper_unit,mol_grammin
3_scholander1952,cyanobacteria,neutral,71,apthosa,5.84448109375e-7,NA,10,r,scholander1952,3,5.84448109375e-7
3_scholander1952,cyanobacteria,neutral,71,apthosa,8.26269834375e-7,NA,20,r,scholander1952,3,8.26269834375e-7
3_scholander1952,cyanobacteria,neutral,71,apthosa,8.26269834375e-7,NA,20,r,scholander1952,3,8.26269834375e-7
3_scholander1952,cyanobacteria,neutral,71,apthosa,9.167157229166667e-7,NA,20,r,scholander1952,3,9.167157229166667e-7
3_scholander1952,cyanobacteria,neutral,71,apthosa,1.0170620791666666e-6,NA,20,r,scholander1952,3,1.0170620791666666e-6
3_scholander1952,cyanobacteria,neutral,71,apthosa,1.1480982083333334e-6,NA,30,r,scholander1952,3,1.1480982083333334e-6
3_scholander1952,cyanobacteria,neutral,71,apthosa,1.2960167708333333e-6,NA,30,r,scholander1952,3,1.2960167708333333e-6
3_scholander1952,cyanobacteria,neutral,71,apthosa,1.4378825104166666e-6,NA,30,r,scholander1952,3,1.4378825104166666e-6
3_scholander1952,cyanobacteria,neutral,71,apthosa,1.5952772916666667e-6,NA,30,r,scholander1952,3,1.5952772916666667e-6
4_scholander1952,green algae,neutral,71,sylvatica,3.188512052083333e-8,NA,0,r,scholander1952,4,3.188512052083333e-8
4_scholander1952,green algae,neutral,71,sylvatica,3.662169479166667e-8,NA,0,r,scholander1952,4,3.662169479166667e-8
4_scholander1952,green algae,neutral,71,sylvatica,4.133995677083333e-8,NA,0,r,scholander1952,4,4.133995677083333e-8
4_scholander1952,green algae,neutral,71,sylvatica,4.8310239583333334e-8,NA,0,r,scholander1952,4,4.8310239583333334e-8
4_scholander1952,green algae,neutral,71,sylvatica,9.327246979166666e-8,NA,10,r,scholander1952,4,9.327246979166666e-8
4_scholander1952,green algae,neutral,71,sylvatica,9.327246979166666e-8,NA,10,r,scholander1952,4,9.327246979166666e-8
4_scholander1952,green algae,neutral,71,sylvatica,1.0712821145833333e-7,NA,10,r,scholander1952,4,1.0712821145833333e-7
4_scholander1952,green algae,neutral,71,sylvatica,1.4629928333333335e-7,NA,10,r,scholander1952,4,1.4629928333333335e-7
4_scholander1952,green algae,neutral,71,sylvatica,2.2947264479166665e-7,NA,20,r,scholander1952,4,2.2947264479166665e-7
4_scholander1952,green algae,neutral,71,sylvatica,2.4592694166666665e-7,NA,20,r,scholander1952,4,2.4592694166666665e-7
4_scholander1952,green algae,neutral,71,sylvatica,2.8245969375000003e-7,NA,20,r,scholander1952,4,2.8245969375000003e-7
4_scholander1952,green algae,neutral,71,sylvatica,3.1337855000000005e-7,NA,20,r,scholander1952,4,3.1337855000000005e-7
4_scholander1952,green algae,neutral,71,sylvatica,3.599313229166666e-7,NA,20,r,scholander1952,4,3.599313229166666e-7
4_scholander1952,green algae,neutral,71,sylvatica,3.7261234270833334e-7,NA,20,r,scholander1952,4,3.7261234270833334e-7
4_scholander1952,green algae,neutral,71,sylvatica,5.26784728125e-7,NA,30,r,scholander1952,4,5.26784728125e-7
4_scholander1952,green algae,neutral,71,sylvatica,4.4304231354166667e-7,NA,30,r,scholander1952,4,4.4304231354166667e-7
4_scholander1952,green algae,neutral,71,sylvatica,4.1339956770833337e-7,NA,30,r,scholander1952,4,4.1339956770833337e-7
4_scholander1952,green algae,neutral,71,sylvatica,3.8574013645833337e-7,NA,30,r,scholander1952,4,3.8574013645833337e-7
4_scholander1952,green algae,neutral,71,sylvatica,3.8574013645833337e-7,NA,30,r,scholander1952,4,3.8574013645833337e-7
4_scholander1952,green algae,neutral,71,sylvatica,3.99330446875e-7,NA,30,r,scholander1952,4,3.99330446875e-7
5_scholander1952,green algae,neutral,71,islandica,9.2633588125e-8,NA,0,r,scholander1952,5,9.2633588125e-8
5_scholander1952,green algae,neutral,71,islandica,1.06339246875e-7,NA,0,r,scholander1952,5,1.06339246875e-7
