individual.ID,temp.Cat,treatment,Temp.C,umol.cm2.hr,rate.type,light_dark,fragment.ID
PV27,36,control,35.67327083,0.0681171,NP,light,PV27_L
PV27,36,control,35.86552221,0.527681963,GP,light,PV27_L
PV27,37,control,37.03197959,0.40650623,R,dark,PV27_D
PV27,37,control,36.80030612,-0.158934222,NP,light,PV27_L
PV27,37,control,36.91614286,0.247572007,GP,light,PV27_L
PV27,38,control,38.17014583,0.350139667,R,dark,PV27_D
PV28,20,control,19.9975102,0.306776522,R,dark,PV28_D
PV28,20,control,20.19257143,0.104225243,NP,light,PV28_L
PV28,20,control,20.09504082,0.411001765,GP,light,PV28_L
PV28,22,control,21.8362449,0.315635268,R,dark,PV28_D
PV28,22,control,21.96195918,0.119195408,NP,light,PV28_L
PV28,22,control,21.89910204,0.434830676,GP,light,PV28_L
PV28,24,control,23.79195918,0.357880019,R,dark,PV28_D
PV28,24,control,24.00126531,0.157855685,NP,light,PV28_L
PV28,24,control,23.89661224,0.515735703,GP,light,PV28_L
PV28,28,control,27.99206,0.426863162,R,dark,PV28_D
PV28,28,control,27.87516327,0.318300036,NP,light,PV28_L
PV28,28,control,27.93361163,0.745163199,GP,light,PV28_L
PV28,30,control,29.9133125,0.435164946,R,dark,PV28_D
PV28,30,control,30.01118367,0.269892989,NP,light,PV28_L
PV28,30,control,29.96224809,0.705057936,GP,light,PV28_L
PV28,32,control,31.76585714,0.539286883,R,dark,PV28_D
PV28,32,control,32.07318367,0.228842733,NP,light,PV28_L
PV28,32,control,31.91952041,0.768129616,GP,light,PV28_L
PV28,34,control,33.577625,0.569756002,R,dark,PV28_D
PV28,34,control,33.99512245,0.081935232,NP,light,PV28_L
PV28,34,control,33.78637372,0.651691235,GP,light,PV28_L
PV28,36,control,35.58739623,0.590491918,R,dark,PV28_D
PV28,36,control,35.75404082,-0.065008095,NP,light,PV28_L
PV28,36,control,35.67071852,0.525483822,GP,light,PV28_L
PV28,37,control,36.57879592,0.52024344,R,dark,PV28_D
PV28,37,control,37.04097959,-0.244065082,NP,light,PV28_L
PV28,37,control,36.80988776,0.276178358,GP,light,PV28_L
PV28,38,control,37.91628571,0.445118962,R,dark,PV28_D
PV29,20,control,20.18218,0.161115772,R,dark,PV29_D
PV29,20,control,20.16489796,0.276707774,NP,light,PV29_L
PV29,20,control,20.17353898,0.437823545,GP,light,PV29_L
PV29,22,control,22.16081633,0.210114428,R,dark,PV29_D
PV29,22,control,22.19391837,0.228150224,NP,light,PV29_L
PV29,22,control,22.17736735,0.438264651,GP,light,PV29_L
PV29,24,control,24.1457551,0.231210432,R,dark,PV29_D
PV29,24,control,24.03828571,0.264672442,NP,light,PV29_L
PV29,24,control,24.09202041,0.495882874,GP,light,PV29_L
PV29,28,control,28.24597959,0.180584054,R,dark,PV29_D
PV29,28,control,28.13102041,0.265621203,NP,light,PV29_L
PV29,28,control,28.1885,0.446205257,GP,light,PV29_L
PV29,30,control,30.0482449,0.295397034,R,dark,PV29_D
PV29,30,control,30.03866667,0.23730822,NP,light,PV29_L
PV29,30,control,30.04345578,0.532705254,GP,light,PV29_L
PV29,32,control,31.89961224,0.311882293,R,dark,PV29_D
PV29,32,control,31.9884898,0.196837185,NP,light,PV29_L
PV29,32,control,31.94405102,0.508719478,GP,light,PV29_L
PV29,34,control,33.94542857,0.387243045,R,dark,PV29_D
PV29,34,control,34.14546939,0.046417971,NP,light,PV29_L
PV29,34,control,34.04544898,0.433661016,GP,light,PV29_L
PV29,36,control,35.92977551,0.37712056,R,dark,PV29_D
PV29,36,control,36.04228,-0.092117353,NP,light,PV29_L
PV29,36,control,35.98602776,0.285003207,GP,light,PV29_L
PV29,37,control,36.85720408,0.367497898,R,dark,PV29_D
PV29,37,control,36.93432653,-0.323810619,NP,light,PV29_L
PV29,37,control,36.89576531,0.043687279,GP,light,PV29_L
PV29,38,control,38.06418367,0.295074172,R,dark,PV29_D
PV29,39,control,39.0065102,0.270038174,R,dark,PV29_D
PV30,20,control,19.8988,0.288742327,R,dark,PV30_D
PV30,20,control,20.20871429,0.243405322,NP,light,PV30_L
PV30,20,control,20.05375714,0.532147648,GP,light,PV30_L
PV30,22,control,22.02767347,0.223448359,R,dark,PV30_D
PV30,22,control,22.17402041,0.343190083,NP,light,PV30_L
PV30,22,control,22.10084694,0.566638442,GP,light,PV30_L
PV30,24,control,24.16334694,0.261385621,R,dark,PV30_D
PV30,24,control,24.0187551,0.465755392,NP,light,PV30_L
PV30,24,control,24.09105102,0.727141013,GP,light,PV30_L
PV30,28,control,28.12469388,0.359236309,R,dark,PV30_D
PV30,28,control,28.29783673,0.57474957,NP,light,PV30_L
PV30,28,control,28.21126531,0.933985879,GP,light,PV30_L
PV30,30,control,30.06430612,0.411140466,R,dark,PV30_D
PV30,30,control,30.08814,0.505697343,NP,light,PV30_L
PV30,30,control,30.07622306,0.916837809,GP,light,PV30_L
