tpc_grp,lichen_type,elevation_broad,latitude,species,mol_gCmin,inv_T,temp,metabolic_category,study_id
1_zotz1998,cyanobacteria,high,8,tomentosa,1.1504818383098593e-6,39.052727987717724,24,npp,zotz1998
1_zotz1998,cyanobacteria,high,8,tomentosa,1.067457375774648e-6,38.79163670917708,26,npp,zotz1998
1_zotz1998,cyanobacteria,high,8,tomentosa,9.429206822535214e-7,38.53401335397749,28,npp,zotz1998
1_zotz1998,cyanobacteria,high,8,tomentosa,9.014084507042255e-7,38.27978928434875,30,npp,zotz1998
1_zotz1998,cyanobacteria,high,8,tomentosa,7.768717566197185e-7,38.028897661970575,32,npp,zotz1998
1_kappen_2000,green algae,neutral,-72.18,frigida,-1.0336029084299022e-7,43.13348055188322,-4.112631045,npp,kappen_2000
1_kappen_2000,green algae,neutral,-72.18,frigida,-9.411009709914414e-7,40.31719190669667,14.68051529,npp,kappen_2000
1_kappen_2000,green algae,neutral,-72.18,frigida,-1.838418609406953e-7,42.35809546941839,0.812225944,npp,kappen_2000
1_lange_1991,green algae,neutral,53.728189,portentosa,8.724087591600001e-7,41.87089345679351,4,npp,lange_1991
1_lange_1991,green algae,neutral,53.728189,portentosa,1.2192700728000002e-6,41.275184497778135,8,npp,lange_1991
1_lange_1991,green algae,neutral,53.728189,portentosa,1.5661313868000002e-6,40.696188397511214,12,npp,lange_1991
1_lange_1991,green algae,neutral,53.728189,portentosa,2.0181021900000003e-6,40.27249044438772,15,npp,lange_1991
1_lange_1991,green algae,neutral,53.728189,portentosa,2.249343066e-6,39.58559823145258,20,npp,lange_1991
1_lange_1991,green algae,neutral,53.728189,portentosa,2.1127007304e-6,38.92174449622782,25,npp,lange_1991
1_lange_1991,green algae,neutral,53.728189,portentosa,2.0286131388000005e-6,38.27978928434875,30,npp,lange_1991
2_coxson_2003,green algae,neutral,53.37,sarmentosa,5.832007876997651e-7,42.4840495022893,0,npp,coxson_2003
2_coxson_2003,green algae,neutral,53.37,sarmentosa,9.013103082632735e-7,41.720359955241136,5,npp,coxson_2003
2_coxson_2003,green algae,neutral,53.37,sarmentosa,1.0679391047489206e-6,40.27249044438772,15,npp,coxson_2003
2_coxson_2003,green algae,neutral,53.37,sarmentosa,1.0224948875255625e-6,38.92174449622782,25,npp,coxson_2003
4_coxson_2003,green algae,neutral,53.37,sarmentosa,9.013103082632735e-7,41.720359955241136,5,npp,coxson_2003
4_coxson_2003,green algae,neutral,53.37,sarmentosa,1.2648640460501399e-6,40.27249044438772,15,npp,coxson_2003
4_coxson_2003,green algae,neutral,53.37,sarmentosa,1.666287964856472e-6,38.92174449622782,25,npp,coxson_2003
6_coxson_2003,green algae,neutral,53.37,spp,4.3929409982579715e-7,42.4840495022893,0,npp,coxson_2003
6_coxson_2003,green algae,neutral,53.37,spp,1.0755131409528137e-6,41.720359955241136,5,npp,coxson_2003
6_coxson_2003,green algae,neutral,53.37,spp,1.3178822994773915e-6,40.27249044438772,15,npp,coxson_2003
6_coxson_2003,green algae,neutral,53.37,spp,1.1436794667878514e-6,38.92174449622782,25,npp,coxson_2003
8_coxson_2003,green algae,neutral,53.37,spp,1.120957358176172e-6,41.720359955241136,5,npp,coxson_2003
