paper_id,study_id,source,org_level,genus,species,temp,temp_units,response_def,response_value,response_units ,gas,gas_unit,mass/area,time,error,error_type,sample_size,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,metabolic_category,elevation_metre,latitude,latitude_broad,elevation_broad,lichen_type,npp_value,r_value,npp_error,r_error,n
lange2004,lange2004,figure 4,pop,pseudocyphellaria,aurata,29,C,net photosynthesis,,nmol CO2 * g^-1 *s^-1,co2,nmol,g,sec,,,,T,lab,,,,,150,150,umol *m^-2 *s^-1,npp,1100,8,tropical,high,cyanobacteria,11.41721854,-8.907284768,,,
lange2004,lange2004,figure 4,pop,pseudocyphellaria,aurata,32,C,net photosynthesis,,nmol CO2 * g^-1 *s^-1,co2,nmol,g,sec,,,,T,lab,,,,,150,150,umol *m^-2 *s^-1,npp,1100,8,tropical,high,cyanobacteria,8.258278146,-9.920529801,,,
lange2004,lange2004,figure 4,pop,pseudocyphellaria,aurata,30,C,net photosynthesis,,nmol CO2 * g^-1 *s^-1,co2,nmol,g,sec,,,,T,lab,,,,,150,150,umol *m^-2 *s^-1,npp,1100,8,tropical,high,cyanobacteria,6.589403974,-13.0794702,,,
lange2004,lange2004,figure 4,pop,pseudocyphellaria,aurata,36,C,net photosynthesis,,nmol CO2 * g^-1 *s^-1,co2,nmol,g,sec,,,,T,lab,,,,,150,150,umol *m^-2 *s^-1,npp,1100,8,tropical,high,cyanobacteria,-0.801324503,-14.86754967,,,
lange2004,lange2004,figure 4,pop,pseudocyphellaria,aurata,41,C,net photosynthesis,,nmol CO2 * g^-1 *s^-1,co2,nmol,g,sec,,,,T,lab,,,,,150,150,umol *m^-2 *s^-1,npp,1100,8,tropical,high,cyanobacteria,0.331125828,-18.08609272,,,
lange2004,lange2004,figure 4,pop,pseudocyphellaria,aurata,42,C,net photosynthesis,,nmol CO2 * g^-1 *s^-1,co2,nmol,g,sec,,,,T,lab,,,,,150,150,umol *m^-2 *s^-1,npp,1100,8,tropical,high,cyanobacteria,-0.801324503,-20.35099338,,,
reiter2000,reiter2000,figure7,pop,cetraria ,islandica,2,C,photosynthesis,0.636461994,umol CO2 * kg^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,max water content ,161.1347817,1000,1000,umol *m^-2 *s^-1,npp,2300,47.0004,temperate,high,green algae,0.636461994,-1.373112607,,,
reiter2000,reiter2000,figure7,pop,cetraria ,islandica,2,C,dark respiration,-1.373112607,umol CO2 * kg^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,max water content ,160.7893779,1000,1000,umol *m^-2 *s^-1,r,2300,47.0004,temperate,high,green algae,2.239211297,-2.209473628,,,
reiter2000,reiter2000,figure7,pop,cetraria ,islandica,10,C,photosynthesis,2.239211297,umol CO2 * kg^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,max water content ,126.7854088,1000,1000,umol *m^-2 *s^-1,npp,2300,47.0004,temperate,high,green algae,2.525189626,-3.541916465,,,
reiter2000,reiter2000,figure7,pop,cetraria ,islandica,10,C,dark respiration,-2.209473628,umol CO2 * kg^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,max water content ,127.2751712,1000,1000,umol *m^-2 *s^-1,r,2300,47.0004,temperate,high,green algae,-2.011173184,-6.670391061,,,
reiter2000,reiter2000,figure7,pop,cetraria ,islandica,20,C,photosynthesis,2.525189626,umol CO2 * kg^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,max water content ,124.8641979,1000,1000,umol *m^-2 *s^-1,npp,2300,47.0004,temperate,high,green algae,0.531791908,-1.687861272,,,
reiter2000,reiter2000,figure7,pop,cetraria ,islandica,20,C,dark respiration,-3.541916465,umol CO2 * kg^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,max water content ,125.014077,1000,1000,umol *m^-2 *s^-1,r,2300,47.0004,temperate,high,green algae,0.597701149,-4.091954023,,,
reiter2000,reiter2000,figure7,pop,cetraria ,islandica,30,C,photosynthesis,-2.011173184,umol CO2 * kg^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,max water content ,126.4759777,1000,1000,umol *m^-2 *s^-1,npp,2300,47.0004,temperate,high,green algae,-1.333333333,-6.527536232,,,
reiter2000,reiter2000,figure7,pop,cetraria ,islandica,30,C,dark respiration,-6.670391061,umol CO2 * kg^-1 *s^-1,co2,umol,kg,sec,,,,T,lab,,,max water content ,126.8924581,1000,1000,umol *m^-2 *s^-1,r,2300,47.0004,temperate,high,green algae,-5.6,-10.88695652,,,
sancho1997,sancho1997,figure 2,pop,umbilicaria ,grisea,0,C,dark respiration,-0.733714286,umol CO2 * kg^-1 *s^-1,co2,umol,kg,sec,,,2,T,lab,,,,,610-650,630,umol *m^-2 *s^-1,r,1550,40.8509,temperate,high,green algae,4.093714286,-0.733714286,,,
sancho1997,sancho1997,figure 2,pop,umbilicaria ,grisea,7,C,dark respiration,-1.227428571,umol CO2 * kg^-1 *s^-1,co2,umol,kg,sec,,,2,T,lab,,,,,610-650,630,umol *m^-2 *s^-1,r,1550,40.8509,temperate,high,green algae,6.489142857,-1.227428571,,,
sancho1997,sancho1997,figure 2,pop,umbilicaria ,grisea,14,C,dark respiration,-1.355428571,umol CO2 * kg^-1 *s^-1,co2,umol,kg,sec,,,2,T,lab,,,,,610-650,630,umol *m^-2 *s^-1,r,1550,40.8509,temperate,high,green algae,8.994285714,-1.355428571,,,
sancho1997,sancho1997,figure 2,pop,umbilicaria ,grisea,21,C,dark respiration,-2.708571429,umol CO2 * kg^-1 *s^-1,co2,umol,kg,sec,,,2,T,lab,,,,,610-650,630,umol *m^-2 *s^-1,r,1550,40.8509,temperate,high,green algae,7.549714286,-2.708571429,,,
sancho1997,sancho1997,figure 2,pop,umbilicaria ,grisea,28,C,dark respiration,-3.677714286,umol CO2 * kg^-1 *s^-1,co2,umol,kg,sec,,,2,T,lab,,,,,610-650,630,umol *m^-2 *s^-1,r,1550,40.8509,temperate,high,green algae,7.915428571,-3.677714286,,,
sancho1997,sancho1997,figure 2,pop,umbilicaria ,grisea,35,C,dark respiration,-4.518857143,umol CO2 * kg^-1 *s^-1,co2,umol,kg,sec,,,2,T,lab,,,,,610-650,630,umol *m^-2 *s^-1,r,1550,40.8509,temperate,high,green algae,6.726857143,-4.518857143,,,
sancho1997,sancho1997,figure 2,pop,umbilicaria ,freyi,0,C,dark respiration,,umol CO2 * kg^-1 *s^-1,co2,umol,kg,sec,,,2,T,lab,,,,,610-650,630,umol *m^-2 *s^-1,r,1550,40.8509,temperate,high,green algae,5.930955121,-1.323360184,,,
sancho1997,sancho1997,figure 2,pop,umbilicaria ,freyi,7,C,dark respiration,,umol CO2 * kg^-1 *s^-1,co2,umol,kg,sec,,,2,T,lab,,,,,610-650,630,umol *m^-2 *s^-1,r,1550,40.8509,temperate,high,green algae,8.950517837,-2.02301496,,,
sancho1997,sancho1997,figure 2,pop,umbilicaria ,freyi,14,C,dark respiration,,umol CO2 * kg^-1 *s^-1,co2,umol,kg,sec,,,2,T,lab,,,,,610-650,630,umol *m^-2 *s^-1,r,1550,40.8509,temperate,high,green algae,9.742232451,-2.243958573,,,
sancho1997,sancho1997,figure 2,pop,umbilicaria ,freyi,21,C,dark respiration,,umol CO2 * kg^-1 *s^-1,co2,umol,kg,sec,,,2,T,lab,,,,,610-650,630,umol *m^-2 *s^-1,r,1550,40.8509,temperate,high,green algae,10.16570771,-3.367088608,,,
sancho1997,sancho1997,figure 2,pop,umbilicaria ,freyi,28,C,dark respiration,,umol CO2 * kg^-1 *s^-1,co2,umol,kg,sec,,,2,T,lab,,,,,610-650,630,umol *m^-2 *s^-1,r,1550,40.8509,temperate,high,green algae,8.84004603,-4.379746835,,,
sancho1997,sancho1997,figure 2,pop,umbilicaria ,freyi,35,C,dark respiration,,umol CO2 * kg^-1 *s^-1,co2,umol,kg,sec,,,2,T,lab,,,,,610-650,630,umol *m^-2 *s^-1,r,1550,40.8509,temperate,high,green algae,7.403912543,-5.539700806,,,
