paper_id,study_id,source,org_level,genus,species,temp,temp_units,npp_def,npp_value,npp_units ,gas,gas_unit,mass/area,time,realm,exp_design,time_point,time_units,add_trt,add_value,ppfd,avg_ppfd,ppfd_units,elevation_metre,latitude,latitude_broad,elevation_broad,lichen_type,r_value
domaschke_2013,domaschke_2013,figure 1,pop,Cetraria ,aculeata ,30,C,net photosynthesis,2.050314465,umol CO2 * kg^-1 * dry weight s^-1,co2,umol,kg,sec,T,lab,,,location,germany,1200,1200,umol *m^-2 *s^-1,,49.58,temperate,neutral,green algae,-4.859538784
domaschke_2013,domaschke_2013,figure 1,pop,Cetraria ,aculeata ,30,C,net photosynthesis,1.178197065,umol CO2 * kg^-1 * dry weight s^-1,co2,umol,kg,sec,T,lab,,,location,spain,1200,1200,umol *m^-2 *s^-1,,41.39,temperate,neutral,green algae,-3.719077568
domaschke_2013,domaschke_2013,figure 1,pop,Cetraria ,aculeata ,30,C,net photosynthesis,-0.834381551,umol CO2 * kg^-1 * dry weight s^-1,co2,umol,kg,sec,T,lab,,,location,antarctica,1200,1200,umol *m^-2 *s^-1,,-62.24,subantarctic,neutral,green algae,-2.578616352
domaschke_2013,domaschke_2013,figure 1,pop,Cetraria ,aculeata ,30,C,net photosynthesis,-0.666666667,umol CO2 * kg^-1 * dry weight s^-1,co2,umol,kg,sec,T,lab,,,location,svalbard,1200,1200,umol *m^-2 *s^-1,,78.1,arctic,neutral,green algae,-3.249475891
green1998,green1998,figure 4a,pop,umbilicaria ,aprina ,0,C,net photosynthesis,6.160201827,umol CO2 m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,800,800,umol *m^-2 *s^-1,,-77.01,antarctic,neutral,green algae,-7.251156131
green1998,green1998,figure 4b,pop,umbilicaria ,aprina ,0,,net photosynthesis,8.64321608,umol CO2 m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1600,1600,umol *m^-2 *s^-1,,-77.01,antarctic,neutral,green algae,-7.236180905
green1998,green1998,figure 4a,pop,umbilicaria ,aprina ,5,C,net photosynthesis,6.75252584,umol CO2 m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,800,800,umol *m^-2 *s^-1,,-77.01,antarctic,neutral,green algae,-10.40112625
green1998,green1998,figure 4b,pop,umbilicaria ,aprina ,5,,net photosynthesis,12.26130653,umol CO2 m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1600,1600,umol *m^-2 *s^-1,,-77.01,antarctic,neutral,green algae,-10.25125628
green1998,green1998,figure 4a,pop,umbilicaria ,aprina ,10,C,net photosynthesis,7.344849853,umol CO2 m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,800,800,umol *m^-2 *s^-1,,-77.01,antarctic,neutral,green algae,-16.04713564
green1998,green1998,figure 4b,pop,umbilicaria ,aprina ,10,,net photosynthesis,14.67336683,umol CO2 m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1600,1600,umol *m^-2 *s^-1,,-77.01,antarctic,neutral,green algae,-16.08040201
green1998,green1998,figure 4a,pop,umbilicaria ,aprina ,15,C,net photosynthesis,-6.721401555,umol CO2 m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,800,800,umol *m^-2 *s^-1,,-77.01,antarctic,neutral,green algae,-32.29657914
green1998,green1998,figure 4b,pop,umbilicaria ,aprina ,15,,net photosynthesis,-2.010050251,umol CO2 m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1600,1600,umol *m^-2 *s^-1,,-77.01,antarctic,neutral,green algae,-32.36180905
green1998,green1998,figure 4a,pop,umbilicaria ,aprina ,20,C,net photosynthesis,-7.687858721,umol CO2 m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,800,800,umol *m^-2 *s^-1,,-77.01,antarctic,neutral,green algae,-30.14419047
green1998,green1998,figure 4b,pop,umbilicaria ,aprina ,20,,net photosynthesis,-1.809045226,umol CO2 m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1600,1600,umol *m^-2 *s^-1,,-77.01,antarctic,neutral,green algae,-30.35175879
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,2,C,net photosynthesis,4.821405348,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.31961574
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,2,C,net photosynthesis,5.109928361,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.26715701
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,2,C,net photosynthesis,5.26730455,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.31961574
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,2,C,net photosynthesis,5.398516948,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.26715701
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,2,C,net photosynthesis,5.582056929,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.31961574
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,7,C,net photosynthesis,-0.31961574,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.86597341
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,7,C,net photosynthesis,7.05529478,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.734892159
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,7,C,net photosynthesis,6.95037732,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.6299747
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,7,C,net photosynthesis,6.819230496,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.551286605
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,7,C,net photosynthesis,6.137267009,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.734892159
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,7,C,net photosynthesis,6.058578915,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.6299747
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,7,C,net photosynthesis,5.796285266,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.551286605
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,12,C,net photosynthesis,5.507762253,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-1.097775422
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,12,C,net photosynthesis,6.862967962,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.992857963
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,12,C,net photosynthesis,7.112146928,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.914169868
lange2002_flora_i,lange2002_flora_i,figure 10 ,pop,lecanora,muralis,12,C,net photosynthesis,7.295752482,umol CO2 * m^-2 *s^-1,co2,umol,m,sec,T,lab,,,,,1750,1750,umol *m^-2 *s^-1,,49.9174,temperate,neutral,green algae,-0.835481773
